name ,add,postcode,owner,status,,,lat,long,city,notes,website,history
Admiral Codrington,"17 Mossop Street, LONDON",SW3 2LY,Inda pubs,open,527415,178803,51.493823,-0.166008,Kensington and Chelsea,,linkedin.com/posts/stuart-hills-07042b13_james-corbett-inda-pubs-ltd-acquires-the-activity-7345688412659544064-ZKx4,
Anglesea Arms,"Public House 15 Selwood Terrace, Onslow Gardens, LONDON",SW7 3QG,Greene King,open,526651,178388,51.490264,-0.177155,Kensington and Chelsea,,https://camra.org.uk/pubs/anglesea-arms-south-kensington-128669,
Antelope,"PUBLIC HOUSE, 22-24 Eaton Terrace, LONDON",SW1W 8EZ,Ineos London Property Holdings Ltd,open,528118,178862,51.494194,-0.155865,Kensington and Chelsea,,https://camra.org.uk/pubs/antelope-london-128649,
Beaufort House,"354 King's Road, LONDON",SW3 5UZ,Independent,open,526697,177716,51.484206,-0.176735,Kensington and Chelsea,,https://find-and-update.company-information.service.gov.uk/officers/yPDED7ViTjQVzsrLIpV6CQBe6F4/appointments,
Bertie Blossoms,"323 Portobello Road, LONDON",W10 5SY,Not a pub,open,524321,181729,51.520807,-0.209522,Kensington and Chelsea,,,
Blackbird,"Public House, 209-211 Earl's Court Road, LONDON",SW5 9AN,"Fuller, Smith & Turner ",open,525599,178553,51.491981,-0.192241,Kensington and Chelsea,Confidence: Medium. Appears in the Brewery History Society's Fuller's estate list: https://breweryhistory.com/wiki/index.php/List_of_Fuller%2C_Smith_%26_Turner_Ltd_pubs,https://www.allinlondon.co.uk/directory/store-finders/20-fullers-pubs,
Builders Arms PH,"Public House, 13 Britten Street, LONDON",SW3 3TY,Cubitt House (Young's),open,527305,178273,51.489075,-0.167782,Kensington and Chelsea,,,
Bunch of Grapes,"Public House, 207 Brompton Road, LONDON",SW3 1LA,Greene King,open,527348,179211,51.497504,-0.166825,Kensington and Chelsea,,,
Castle PH,"Public House, 100 Holland Park Avenue, LONDON",W11 4UA,Mitchell and Butlers,open,524491,180178,51.50683,-0.207634,Kensington and Chelsea,,,
Chelsea Pensioner,"Public House, 358 Fulham Road, LONDON",SW10 9UU,Independent,open,525936,177399,51.481526,-0.187801,Kensington and Chelsea,,,
Chelsea Pensioners Club,"Royal Hospital, Royal Hospital Road, LONDON",SW3 4SR,Private ,open,527912,178044,51.486889,-0.159127,Kensington and Chelsea,,,
Chelsea Potter,"Public House, 119 King's Road, LONDON",SW3 4PL,Greene King,open,527422,178192,51.48833,-0.166127,Kensington and Chelsea,,,
