name,add,postcode,owner,lat,long,city,notes,website,history
Asparagus,"The Asparagus Public House, 1-13 Falcon Road, London",SW11 2PL,Portobello Pub Company,51.469896,-0.171322,Wandsworth,OWNED BY ZETLAND CAPITAL,https://www.zetlandcapital.com/insights/portobello-starboard/,
Balham Bowls Club,"Balham Club, 7-9 Ramsden Road, London",SW12 8QX,Urban Pubs and Bars,51.444881,-0.152445,Wandsworth,PREV. ANTIC hospitality group,"https://www.thecaterer.com/news/portfolio-of-antic-pubs-and-bars-enter-administration#:~:text=A%20collection%20of%2013%20London,being%20put%20up%20for%20sale",
Be At One,"30 Putney High Street, London",SW15 1SQ,Stonegate,51.465252,-0.214843,Wandsworth,,,
Be At One,"85 Battersea Rise, London",SW11 1HW,Stonegate,51.460662,-0.167401,Wandsworth,,,
Beehive PH,"197 St Johns Hill, London",SW11 1TH,Lee and Keris De Villiers,51.459825,-0.178225,Wandsworth,,,
Boom Battle Bar (Primary Licence),"89&11 Barley Walk, London",SW18 1UL,Boom Battle Bar,51.458002,-0.19362,Wandsworth,Axe-throwing bar,,
Brewers Inn,Brewers Inn,SW18 2QB,Young & Co,51.456715,-0.189366,Wandsworth,,,
Bricklayer's Arms,"32 Waterman Street, London",SW15 1DD,Independent,51.466054,-0.216755,Wandsworth,,,
Churchill's,Churchill's,SW11 1TQ,Woolwich Tavern Co,51.460165,-0.177045,Wandsworth,,,
Country House,"4 Groton Road, London",SW18 4EP,Independent,51.442038,-0.188984,Wandsworth,,,
County Arms Public House,"345 Trinity Road, Wandsworth, London",SW18 3SH,Young & Co,51.450094,-0.174243,Wandsworth,,,
Duchess Belle,"101 Battersea Park Road, London",SW8 4DS,Belle Pubs and Restaurants,51.479163,-0.142465,Wandsworth,,,
Duke Of Cambridge,"228 Battersea Bridge Road, London",SW11 3AA,Young & Co,51.472856,-0.166236,Wandsworth,,,
Dukes Head,"8 Lower Richmond Road, London",SW15 1JN,Young & Co,51.467292,-0.217124,Wandsworth,,,
Eagle Public House,"The Eagle, 104 Chatham Road, London",SW11 6HG,S.P.S Pubs Ltd,51.455027,-0.163619,Wandsworth,,,
Fox and Hounds,"66 Latchmere Road, London",SW11 2JU,Stonegate,51.46713,-0.16294,Wandsworth,,,
Graveney & Meadow,"Graveney And Meadow, 40 Mitcham Road, London",SW17 9NA,,51.426924,-0.166996,Wandsworth,,,
Grosvenor Arms,"204 Garratt Lane, London",SW18 4ED,Independent,51.447356,-0.189593,Wandsworth,,,
Hagen & Hyde,"157 Balham High Road, London",SW12 9AU,Urban Pubs and Bars,51.443829,-0.152029,Wandsworth,,,
Halfway House,"521 Garratt Lane, London",SW18 4SR,Young & Co,51.441699,-0.187263,Wandsworth,,,
Hawkins Forge,"110 Battersea Rise, London",SW11 1EJ,Castle (Mitchell & Butlers),51.460721,-0.16905,Wandsworth,,,
J J Moons,"56A Tooting High Street, London",SW17 0RN,Wetherspoons,51.427918,-0.168519,Wandsworth,,,
Junction,"The Junction Public House, 36 St Johns Hill, London",SW11 1SA,Greene King,51.463344,-0.169842,Wandsworth,,,
Kings Head Public House,"1 Roehampton High Street, London",SW15 4HL,Young & Co,51.450257,-0.240758,Wandsworth,,,
Masons Arms,"169 Battersea Park Road, London",SW8 4BT,Fullers,51.476778,-0.146868,Wandsworth,,,
Mayfair Tavern,"127-145 Upper Tooting Road, London",SW17 7TJ,Independent,51.432326,-0.163384,Wandsworth,,,
Old Fields,"20 Replingham Road, London",SW18 5LS,Greene King,51.444646,-0.205184,Wandsworth,,,
Paya & Horse,"181 Battersea Park Road, London",SW11 4LB,Independent,51.475812,-0.148894,Wandsworth,,,
Pig And Whistle,"479-481 Merton Road, London",SW18 5LD,Grumpy pub company,51.441071,-0.196705,Wandsworth,,,
Plough Public House,"89-91 St Johns Hill, London",SW11 1SY,Adventure Bar Group,51.461474,-0.173299,Wandsworth,,,
Prince of Wales,"138 Upper Richmond Road, London",SW15 2SP,Mosaic pub and dining,51.460146,-0.212624,Wandsworth,,,
Queen Adelaide,"35 Putney Bridge Road, London",SW18 1NP,Young & Co,51.459898,-0.199346,Wandsworth,,,
