name,add,postcode,owner,status,lat,long,city,notes,website,history
The Oxford,"256 Kentish Town Road, London",NW5 2AA,Columbo Group,open,51.549725,-0.140515,Camden,Pub,http://www.theparakeetpub.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=GMB_Listing,replaced the Oxford
The Unicorn,"227 Camden Road, London",NW1 9AA,Unknown ,open,51.548931,-0.129571,Camden,Pub,,The Unicorn
081 Pizzeria,"The Colonel Fawcett, 1 Randolph Street, London",NW1 0SS,Tidalwave bars,open,51.54198126,-0.135941942,Camden,Pub,http://www.thecolonelfawcett.co.uk/,
Abbey Tavern,124 Kentish Town Road,NW1 9QB,Camden Bars,open,51.546187,-0.141548,Camden,Pub,http://www.abbey-tavern.com/,
Aces and Eights Saloon Bar,156-158 Fortess Road,NW5 2HP,Dive Bars,open,51.55616,-0.138704,Camden,Pub,http://www.acesandeightssaloonbar.com/,
Betjeman Arms,"Unit 53 St Pancras International Station, Euston Road, London",N1C 4QL,Young's,open,51.531429,-0.126122,Camden,Pub,https://www.thebetjemanarms.co.uk/,
Bloomsbury Tavern,"236 Shaftesbury Avenue, London",WC2H 8EG,Shepherd Neame,open,51.516819,-0.125727,Camden,Pub,https://www.bloomsburytavern.co.uk/,
Bricklayers Arms,"31 Gresse Street, London",W1T 1QS,Samuel Smith,open,51.51776,-0.1334,Camden,Pub,https://camra.org.uk/pubs/bricklayers-arms-london-125553,
Brondes Age,328 Kilburn High Road,NW6 2QN,Independent,open,51.545207,-0.201541,Camden,Pub,http://www.brondesage.co.uk/,
Bucks Head,"202 Camden High Street, London",NW1 8QR,Stonegate,open,51.540267,-0.143482,Camden,Pub,http://www.socialpubandkitchen.co.uk/bucks-head-camden?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
Bull & Bush,"Bull And Bush, North End Way, London",NW3 7HE,Mitchells & Butlers,open,51.567541,-0.182557,Camden,Pub,https://www.thebullandbush.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
Bull and Gate,389 Kentish Town Road,NW5 2TJ,Young's,open,51.550399,-0.141189,Camden,Pub,https://www.bullandgatenw5.co.uk/,
Callum Smith Catering Ltd,"Tapping The Admiral, 77 Castle Road, London",NW1 8SU,Independent,open,51.545283,-0.146191,Camden,Pub,http://www.tappingtheadmiral.com/,
Calthorpe Arms,"252 Gray's Inn Road, London",WC1X 8JR,Brodies,open,51.524866,-0.116041,Camden,Pub,https://www.calthorpearmswc1.co.uk/,
Camden Eye,"2 Kentish Town Road, London",NW1 9NX,Laine Pub Company,open,51.539536,-0.142199,Camden,Pub,http://www.camdeneye.pub/,
CATERING SIR RICHARD STEELE,"97 Haverstock Hill, London",NW3 4RL,Independent,open,51.546795,-0.15885,Camden,Pub,https://www.instagram.com/sirrichardsteelenw3?igsh=a2poN2V0c2wzbHZ2,
Coopers Arms,"164 Kilburn High Road, London",NW6 4JD,Stonegate,open,51.540748,-0.196228,Camden,Pub,https://camra.org.uk/pubs/coopers-arms-kilburn-125352,
Coyote Ugly Saloon Ltd,"The Stables Market, Chalk Farm Road, London",NW1 8AH,Coyote Ugly Saloon Ltd,open,51.542339,-0.147738,Camden,Pub,http://www.coyoteuglysaloonuk.com/camden,
Craft Beer Company,"82 Leather Lane, London",EC1N 7TR,Craft Beer Company,open,51.521255,-0.109602,Camden,Pub,http://www.thecraftbeerco.com/clerkenwell,
Cross Keys,"31 Endell Street, London",WC2H 9BA,Independent,open,51.514511,-0.124885,Camden,Pub,https://londonpubsgroup.camra.org.uk/viewnode.php?id=43045,
Crown & Anchor,"137 Drummond Street, London",NW1 2HL,Mitchells & Butlers,open,51.526899,-0.136962,Camden,Pub,https://www.thecrownandanchornw1.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
Crown & Anchor,"22 Neal Street, London",WC2H 9PS,Glendola Leisure,open,51.514038,-0.124991,Camden,Pub,http://crownandanchornealst.co.uk/,
Disappearing Dining Club at Dartmouth Arms,"35 York Rise, London",NW5 1SP,Independent,open,51.558491,-0.143793,Camden,Pub,https://www.dartmoutharms.co.uk/,
Doric Arch,"Euston Station, Unit 50 Eversholt Street, London",NW1 2HS,Fuller Smith & Turner,open,51.528667,-0.133271,Camden,Pub,https://www.doric-arch.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P125&y_source=1_MTIyMzcwNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Earl of Camden,"55 Parkway, London",NW1 7PN,Stonegate,open,51.537881,-0.144415,Camden,Pub,http://www.socialpubandkitchen.co.uk/earl-of-camden?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
Edinboro Castle,"57 Mornington Terrace, London",NW1 7RU,Mitchells & Butlers,open,51.536064,-0.144994,Camden,Pub,https://www.edinborocastlepub.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
Escape Bar & Restaurant,"2 Lidlington Place, London",NW1 2JU,Senathey Ltd,open,51.532644,-0.137448,Camden,Pub,https://escapemornington.co.uk/,
