index,name,add,postcode,filler,owner,status,a,b ,lat,long,city,notes
288338,Bacchus Late Bar & Venue,"2 Church Street, Kingston Upon Thames",KT1 1RJ,owner,Independent,open,517952,169240,51.409935,-0.305444,Kingston upon Thames,
288345,Bar Malden,"1-3 St Georges Square, New Malden",KT3 4HG,owner,Marston's,closed,521377,168604,51.403487,-0.256442,Kingston upon Thames,
288368,Black Horse T/A 88th St T/A Value Mighty T/A Sin City Burger,"204 London Road, Kingston Upon Thames",KT2 6QP,owner,Independent,open,519209,169671,51.413545,-0.287223,Kingston upon Thames,Freehold: Stonegate
288376,Boaters,"The Boaters Inn, Canbury Gardens, Kingston Upon Thames",KT2 5AU,owner,Greene King,open,517916,170244,51.418957,-0.305622,Kingston upon Thames,
288388,Brave New World,"22-26 Berrylands Road, Surbiton",KT5 8RA,owner,Independent,open,518671,167377,51.39303,-0.295722,Kingston upon Thames,
288546,Coronation Hall,"The Coronation Hall, St Mark's Hill, Surbiton",KT6 4LQ,owner,JD Wetherspoon,open,518114,167430,51.393616,-0.303715,Kingston upon Thames,
288609,Duke Of York,"64-65 Victoria Road, Surbiton",KT6 4NQ,owner,Morgan Pub Co,open,517908,167238,51.39194,-0.306744,Kingston upon Thames,
288713,Gordon Bennett Bar & Kitchen,"75 Maple Road, Surbiton",KT6 4AG,owner,independent,closed,517800,167554,51.394803,-0.308191,Kingston upon Thames,
288741,Harts Boatyard,"Portsmouth Road, Surbiton",KT6 4HJ,owner,Mitchells & Butlers,open,517529,167788,51.396961,-0.312,Kingston upon Thames,
288752,Hollywood Bowl,"Charrington Bowl, Kingston Road, Tolworth",KT5 9PB,owner,Hollywood Bowl Group,open,519772,165711,51.377818,-0.280472,Kingston upon Thames,
288825,Kai's Thai Food @ The Cocoanut,"The Cocoanut, 16 Mill Street, Kingston Upon Thames",KT1 2RF,owner,Independent,open,518441,168911,51.406866,-0.298515,Kingston upon Thames,Tom Holland's favourite thai place in london
288854,Kings Tun,"153-157 Clarence Street, Kingston Upon Thames",KT1 1QT,owner,JD Wetherspoon,open,518267,169410,51.411387,-0.300849,Kingston upon Thames,
288880,Kingston Working Mens Club,"25 Old London Road, Kingston Upon Thames",KT2 6ND,owner,Kingston Workmens' Club & Institute,open,518365,169395,51.411232,-0.299446,Kingston upon Thames,
289038,Monkey Puzzle,"The Monkey Puzzle, Leatherhead Road, Chessington",KT9 2NE,owner,Beefeater,closed,517458,162407,51.348615,-0.314795,Kingston upon Thames,
289129,O'Neills,"3 Eden Street, Kingston Upon Thames",KT1 1BQ,owner,Mitchells & Butlers,open,517949,169149,51.409108,-0.305513,Kingston upon Thames,
