name,add,postcode,owner,lat,long,city,notes,website,history
Sixty/Four Cocktail Bar,"64 Clapham High Street, London",SW4 7UL,,51.463601,-0.133662,Lambeth,,,
All Bar One,"1 Chicheley Street, London",SE1 7PY,Mitchells & Butlers,51.502565,-0.116739,Lambeth,,,
Apollo Arms,"13 - 19 Old Town, London",SW4 0JT,,51.465364,-0.141033,Lambeth,,,
Ashtar Lounge,"Arches 80 To 81, Albert Embankment, London",SE1 7TP,,51.487976,-0.123751,Lambeth,,,
Bar Elba (Roof Top),"Mercury House, 109-117 Waterloo Road, London",SE1 8UL,,51.502727,-0.110076,Lambeth,Changed name to Circe's,,
Be At One Bar & Lounge,"4 Clapham Common South Side, London",SW4 7AA,Stonegate,51.461563,-0.137833,Lambeth,,,
Bread & Roses,"The Bread And Roses Public House, 68 Clapham Manor Street, London",SW4 6DZ,,51.466404,-0.136916,Lambeth,,,
Brixton Jamm,"261 Brixton Road, London",SW9 6LH,,51.47096,-0.111965,Lambeth,,,
Cavendish Arms,"The Cavendish Arms, Hartington Road, London",SW8 2HJ,,51.476545,-0.127667,Lambeth,,,
Commercial Hotel,"The Commercial Hotel, 210 - 212 Railton Road, London",SE24 0JT,,51.452968,-0.102647,Lambeth,,,
Crown And Sceptre,"The Crown And Sceptre, Streatham Hill, London",SW2 4AH,,51.44507171,-0.124799391,Lambeth,Under threat,,https://streathamhilltheatre.org/crown-sceptre-pub-development
Duchy Arms,"The Duchy Arms, 63 Sancroft Street, London",SE11 5UG,,51.488928,-0.11311,Lambeth,,,
Eagle London,"The Duke Of Cambridge Public House, 349 Kennington Lane, London",SE11 5QY,,51.486206,-0.11943,Lambeth,,,
Earl Ferrers,"Earl Ferrers Public House, 22 Ellora Road, London",SW16 6JF,,51.423595,-0.132688,Lambeth,,,
Effra Hall Tavern,"38A Kellett Road, London",SW2 1EB,,51.459704,-0.113797,Lambeth,,,
Effra Social,"89 Effra Road, London",SW2 1DF,,51.455681,-0.113474,Lambeth,,,
Feeleys Free House,"Feelys Free House, 99 Union Road, London",SW8 2RF,,51.4715,-0.135067,Lambeth,,,
Fentiman Arms,"The Fentiman Arms, 64 Fentiman Road, London",SW8 1LA,,51.481224,-0.118929,Lambeth,,,
Ferndales,"118 Ferndale Road, London",SW4 7SE,,51.463058,-0.124989,Lambeth,,,
Hanover Arms,"The Hanover Arms, 326 Kennington Park Road, London",SE11 4PP,,51.481679,-0.113092,Lambeth,,,
Hole In The Wall,"The Hole In The Wall, 5 Mepham Street, London",SE1 8SQ,,51.504107,-0.113679,Lambeth,,,
Holland Tringham,"107 - 109 Streatham High Road, London",SW16 1HJ,J.D. Wetherspoon,51.42967,-0.130168,Lambeth,,,
Hootananny,"95 Effra Road, London",SW2 1DF,,51.455679,-0.113474,Lambeth,,,
Hope & Anchor,"123 Acre Lane, London",SW2 5UA,,51.459485,-0.128201,Lambeth,,,
The King's Arms,"The Little Apple, 98 Kennington Lane, London",SE11 4XD,,51.490018,-0.108196,Lambeth,,,
Knowles Of Norwood,"294 - 298 Norwood Road, London",SE27 9AF,,51.435263,-0.104401,Lambeth,,,
The White Lion,"The White Lion, 232 - 234 Streatham High Road, London, LONDON",SW16 1BB,,51.430751,-0.12974,Lambeth,,,
Market House,"443 - 445 Coldharbour Lane, London",SW9 8LN,,51.461484,-0.113795,Lambeth,,,
No32 The Old Town,"32 The Pavement, London",SW4 0JE,Portobello,51.463037,-0.140624,Lambeth,Pub restaurant,,
Nolan's Freehouse,"33 Wilcox Road, London",SW8 2XA,,51.479795,-0.126779,Lambeth,Under redevelopment,,
Old Red Lion,"The Old Red Lion, 42 Kennington Park Road, London",SE11 4RS,,51.489351,-0.1054,Lambeth,,,
Old Town Tavern,"29 North Street, London",SW4 0HJ,,51.46611,-0.142174,Lambeth,,,
Perky Nel,"7-8 Cavendish Parade, Clapham Common South Side, London",SW4 9DW,,51.45365,-0.146365,Lambeth,,,
Prince Albert,"The Prince Albert, 418 Coldharbour Lane, London",SW9 8LF,,51.461868,-0.113089,Lambeth,,,
Prince Of Wales,"Prince Of Wales Public House, 169-171 Lyham Road, London",SW2 5PY,Brakspear,51.453507,-0.126646,Lambeth,,https://brakspear.co.uk/pubs/prince-of-wales/,
Prince Of Wales,"The Prince Of Wales Public House, 38 Old Town, London",SW4 0LB,,51.464161,-0.141772,Lambeth,,https://www.powsw4.com/,
Prince Of Wales,"The Prince Of Wales Public House, 48 Cleaver Square, London",SE11 4EA,,51.488129,-0.108749,Lambeth,,https://www.princeofwaleskennington.co.uk/,
Priory Arms,"The Priory Arms Public House, 83 Lansdowne Way, London",SW8 2PB,,51.475008,-0.129423,Lambeth,,,https://pubwiki.co.uk/LondonPubs/Lambeth/PrioryArms.shtml
Railway Bell,"Railway Bell Public House, 14 Cawnpore Street, London",SE19 1PF,Greene King,51.42268,-0.082772,Lambeth,,,
Railway Tavern,"The Railway Tavern, 7 Station Rise, London",SE27 9BW,independently owned and managed by Mato Events,51.439897,-0.10572,Lambeth,,,
Rose & Crown,"2 The Polygon, London",SW4 0JG,Polygon Public House Limited,51.463499,-0.141425,Lambeth,,,
Mc & Sons,"355 Kennington Lane, London",SE11 5QY,,51.486206,-0.11943,Lambeth,Name changed from Royal Oak to Mc & Sons,,
Slug & Lettuce,"The Slug And Lettuce, Chicheley Street, London",SE1 7PY,Stonegate,51.502565,-0.116739,Lambeth,,,
Kraft Brixton,"43 - 44 Granville Arcade, Coldharbour Lane, London",SW9 8PR,,51.462631,-0.111819,Lambeth,,https://www.kraftbrixton.com/,
The Rebel Inn,"78A-78B Streatham High Road, London",SW16 1BS,,51.435122,-0.128622,Lambeth,,,
The Alexandra,"14 Clapham Common South Side, London",SW4 7AA,,51.461563,-0.137848,Lambeth,,,
The Anchor And Hope,"36 The Cut, London",SE1 8LP,,51.503518,-0.106685,Lambeth,,,
The Beehive,"51 Durham Street, London",SE11 5JA,Asif Aziz,51.485126,-0.118855,Lambeth,,,
The Beehive,"407 Brixton Road, London",SW9 7DG,JD Wetherspoon,51.463768,-0.114292,Lambeth,,,
The Belle Vue,"1 Clapham Common South Side, London",SW4 7AA,,51.46172,-0.137544,Lambeth,,,
The Black Dog,"112 Vauxhall Walk, London",SE11 5ER,,51.488759,-0.121082,Lambeth,,,
The Black Prince,"6 Black Prince Road, London",SE11 6HS,,51.489738,-0.112111,Lambeth,,,
The Tim Bobbin,"1 - 3 Lillieshall Road, London",SW4 0LN,,51.466086,-0.14348,Lambeth,,,
The Bricklayers Arms,"1 Hamilton Road, London",SE27 9RZ,,51.430099,-0.091538,Lambeth,,,
The Derby,"336 Kennington Park Road, London",SE11 4PP,,51.481679,-0.113092,Lambeth,Renamed,,
The Bull,"498 Streatham High Road, London",SW16 3QB,,51.41884,-0.128294,Lambeth,,,
The Canton Arms,"The Canton Arms Public House, 177 South Lambeth Road, London",SW8 1XP,,51.476765,-0.1229,Lambeth,,,
The Clapham North,"409 Clapham Road, London",SW9 9BT,,51.466744,-0.128293,Lambeth,,,
The Clapham Tap,"128 Clapham Manor Street, London",SW4 6ED,,51.464516,-0.135654,Lambeth,,,
The Coach & Horses,"The Coach And Horses, 173 - 175 Clapham Park Road, London",SW4 7EX,,51.459858,-0.131252,Lambeth,,,
The Craft Beer Co,"11-13 Brixton Station Road, London",SW9 8PA,,51.463558,-0.114128,Lambeth,,,
The Dog House,"Kennington Road, London",SE11 6BY,,51.490032,-0.110759,Lambeth,,,
The Duke Of Edinburgh,"Duke Of Cambridge Public House, 204 Ferndale Road, London",SW9 8AG,,51.463375,-0.119519,Lambeth,,,
The Duke Of Sussex,"23 Baylis Road, London",SE1 7AY,,51.501048,-0.11026,Lambeth,,,
The Falcon,"33 Bedford Road, London",SW4 7SQ,,51.464338,-0.129111,Lambeth,,,
The Five Bells,"68 - 70 Streatham High Road, London",SW16 1DA,,51.436545,-0.128232,Lambeth,,,
The Florence,"131 - 133 Dulwich Road, London",SE24 0NG,,51.452786,-0.103028,Lambeth,,,
The Golden Goose,"146 - 148 Camberwell New Road, London",SE5 0RR,,51.478007,-0.103399,Lambeth,,,
