index,name,add,postcode,owner,status,a,b,lat,long,city,notes
309158,All Inn One,"Foresters Arms, 53 Perry Vale, Forest Hill, London",SE23 2NE,Fauna Brewing,open,535458,172856,51.438512,-0.052502,Lewisham,
309283,Bellingham Ex-servicemen's club,"Bellingham Club, Allerford Road, London",SE6 3DD,Independent,open,537946,172080,51.43094,-0.017026,Lewisham,
309309,Bird In Hand,"Bird in Hand, Bird In Hand, 35 Dartmouth Road, London",SE23 3HN,Antic,open,535343,172791,51.437956,-0.05418,Lewisham,
309325,Blythe Hill Tavern,"The Blythe Hotel, 319 Stanstead Road, Catford, London",SE23 1JB,Independent,open,536665,173331,51.442493,-0.034959,Lewisham,
309374,Brookmill Pub,"The Brookmill Pub, 65 Cranbrook Road, London",SE8 4EJ,Independent,open,537470,176520,51.470963,-0.02215,Lewisham,
309478,Catford Bridge Tavern,"Catford Bridge Tavern Pub, Catford Road, London",SE6 4PZ,Portobello Brewery,open,537387,173593,51.444671,-0.02448,Lewisham,
309649,Crofton Park Tavern,"332 Brockley Road, Crofton Park, London",SE4 2BT,Mosaic Pub & Dining,open,536505,174843,51.456118,-0.036677,Lewisham,
309650,CROWN,"The Little Crown, 495 New Cross Road, London",SE14 6TQ,Town Centre Inns,open,622675,-5527598,\N,\N,Lewisham,
309704,Dirty South,"162 Lee High Road, London",SE13 5PR,Unknown,closed,538784,175260,51.459311,-0.003733,Lewisham,
309739,Sarah's Place,"214 Hither Green Lane, Hither Green, London",SE13 6RT,Independent,open,538631,174316,51.450865,-0.006309,Lewisham,
309743,Duke of Edinburgh,"Duke Of Edinburgh Public House, 394 Lee High Road, London",SE12 8RW,Independent,open,539793,174970,51.456457,0.010666,Lewisham,
309747,Earl of Derby,"Earl Of Derby, 87 Dennetts Road, London",SE14 5LW,Parched,open,535507,176400,51.470349,-0.050436,Lewisham,
309821,Five Bells,"155 New Cross Road, London",SE14 5DJ,Stonegate,open,535696,177038,51.476037,-0.047472,Lewisham,Craft Union Pub Company
309855,Fox's,"Fox and Hounds, Fox And Hounds, 150 Kirkdale, London",SE26 4BB,Town Centre Inns,open,534957,172001,51.430948,-0.060017,Lewisham,
309983,Hare & Billet,"Hare And Billet, 1A Eliot Cottages, Hare And Billet Road, Blackheath",SE3 0QJ,Greene King,open,539270,176224,51.467863,0.003632,Lewisham,Under Metropolitan
310012,Hill,"The Hill, 45-47 Dartmouth Road, London",SE23 3HN,Stonegate,open,535336,172775,51.437805,-0.054282,Lewisham,
310019,Hither Green Railway Club,"19 Beacon Road, Hither Green, London",SE13 6EQ,Hither Green & District Railwaymens Social Club,open,538688,174399,51.451598,-0.005451,Lewisham,
310149,Joyce,"294 - 296 Brockley Road, Crofton Park, London",SE4 2RA,Independent,open,536668,175186,51.45916,-0.034205,Lewisham,
310249,Ladywell Tavern,"80 Ladywell Road, Ladywell, London",SE13 7HS,Punch Pubs & Co (Punch Taverns),open,537564,174892,51.456302,-0.021426,Lewisham,
310310,Lewisham Tavern,"The White Horse, 1 Lee High Road, London",SE13 5LD,Stonegate,open,538447,175588,51.462341,-0.008453,Lewisham,Craft Union Pub Company
310346,Little Faith,"G 10 The Artworks, 3 Creekside, London",SE8 4SA,Independent,open,537441,177107,51.476245,-0.022339,Lewisham,
310442,Marquis of Granby,"322 New Cross Road, London",SE14 6AG,Independent,open,536618,177021,51.475671,-0.03421,Lewisham,
310460,Meatliquor,"The Dartmouth Arms, 7 Dartmouth Road, London",SE23 3HN,Meatliquor,closed,535370,172870,51.438659,-0.053748,Lewisham,
310612,New Cross Inn,"323 New Cross Road, London",SE14 6AS,Independent,open,536335,177008,51.475623,-0.038288,Lewisham,
310686,Orange Buffalo,"Catford Bridge Tavern Station Approach, Catford Road, London",SE6 4RE,Portobello Brewery,open,537387,173593,51.444671,-0.02448,Lewisham,
310841,Prince of Wales,"Prince Of Wales, 52 Perry Rise, London",SE23 2QL,Heineken,closed,536168,172333,51.433642,-0.042494,Lewisham,
310842,Princess of Wales,"1A Montpelier Row, Blackheath, London",SE3 0RL,Mitchells & Butlers,open,539685,176277,51.468229,0.009629,Lewisham,
