index,name,add,postcode,filler,owner,status,a,b,lat ,long,city,notes
332889,All Bar One,"37-39 Wimbledon Hill Road, Wimbledon",SW19 7NA,owner,Mitchells & Butlers,open,524661,170792,51.422439,-0.208485,Merton,
333224,Dog and Fox,"Public House, 24 High Street, Wimbledon",SW19 5EA,owner,Young's,open,524017,171072,51.425096,-0.217636,Merton,
333238,Earl Beatty,"365 West Barnes Lane, New Malden",KT3 6JF,owner,Greene King,open,522665,167680,51.394897,-0.238246,Merton,
333309,Formerly known as The Vale,"The Vale At Streatham, 1A Lilian Road, Streatham, London",SW16 5HN,owner,Unknown,closed,529309,169850,51.412933,-0.142015,Merton,
333329,Ganleys Irish Bar,"43-47 London Road, Morden",SM4 5HT,owner,Deltaplace Developments Ltd,open,525761,168582,51.402334,-0.193439,Merton,
333377,Hand & Racquet,"25-27 Wimbledon Hill Road, Wimbledon",SW19 7NE,owner,Greene King,open,524714,170733,51.421905,-0.207742,Merton,
333400,Hemingways,"57 High Street, Wimbledon",SW19 5EE,owner,Independent,open,523910,171126,51.425605,-0.219164,Merton,"Unclear status, possible cocktail bar "
333417,Horse and Groom,"The Horse And Groom, 131 Merton High Street, Colliers Wood, London",SW19 1DE,owner,Stonegate,open,525846,170049,51.415497,-0.191719,Merton,
333515,Kiss Me Hardy,"Unit 5 Priory Retail Park, 131 High Street Collier's Wood, Colliers Wood",SW19 2PP,owner,Greene King,closed,526735,170151,51.416219,-0.1789,Merton,
333644,Miller & Carter,"The Mill House, Windmill Road, Mitcham",CR4 1HT,owner,Mitchells & Butlers,closed,529135,167870,51.395179,-0.14523,Merton,
333664,Morden Brook,"The Morden Brook Public House, Lower Morden Lane, Morden",SM4 4SS,owner,Greene King,open,523815,167286,51.391106,-0.221869,Merton,
333811,Prince Of Wales,"2 Hartfield Road, Wimbledon",SW19 3TA,owner,Greene King,open,524826,170580,51.420496,-0.20618,Merton,
333817,Purkins Wine Bar,"174 Streatham Road, Mitcham",CR4 2AF,owner,Independent,closed,528571,170273,51.416904,-0.152463,Merton,
333841,Raynes Park Tavern,"32 Coombe Lane, Raynes Park",SW20 0LA,owner,Greene King,open,523182,169337,51.409693,-0.230237,Merton,
333861,Rose & Crown,"55 High Street, Wimbledon",SW19 5BA,owner,Young's,open,523837,171143,51.42578,-0.220196,Merton,
333874,Royal Standard,"The Royal Standard, 180 High Street Collier's Wood, Colliers Wood",SW19 2BN,owner,Independent,open,526766,170398,51.418432,-0.178367,Merton,
334032,The Alexandra,"31-33 Wimbledon Hill Road, Wimbledon",SW19 7NE,owner,Independent,open,524694,170744,51.421998,-0.208022,Merton,Freehold: Young's
334039,The Cavern Public House,"100-102 Coombe Lane, Raynes Park",SW20 0AY,owner,Independent,open,522929,169344,51.409803,-0.233884,Merton,
334040,The Charles Holden,"198 High Street Collier's Wood, Colliers Wood",SW19 2BH,owner,Laine Pub Company,open,526744,170342,51.417933,-0.178703,Merton,
334048,The Crown of Mitcham,"Carshalton Road, Mitcham",CR4 4HJ,owner,Fusion Feast Ltd,open,528186,167284,51.390119,-0.159075,Merton,Freehold: Heineken
334054,The Fox and Grapes,"9 Camp Road, Wimbledon",SW19 4UN,owner,Morgan Pub Co,open,523124,171185,51.426306,-0.230432,Merton,
334057,The Gardeners Arms,"Gardeners Arms, 107 London Road, Mitcham",CR4 2JA,owner,Independent,open,527945,169512,51.410197,-0.161735,Merton,
334058,The Garratt And Gauge Wimbledon,"18 Hartfield Road, Wimbledon",SW19 3TA,owner,Stonegate,open,524881,170498,51.419748,-0.205423,Merton,
334060,The George Inn,"Epsom Road, Morden",SM4 5PJ,owner,Mitchells & Butlers,open,525065,167372,51.391606,-0.203876,Merton,
334064,The Gorringe Park,"Gorringe Park Hotel, 29 London Road, Tooting, London",SW17 9JR,owner,Independent,open,527926,170527,51.419331,-0.161641,Merton,
334073,The Leather Bottle,"277 Kingston Road, Wimbledon",SW19 3NW,owner,Greene King,open,524654,169545,51.411226,-0.20902,Merton,
334082,The Nelson Arms,"15 Merton High Street, Colliers Wood, London",SW19 1DF,owner,Independent,open,526192,170095,51.415838,-0.186719,Merton,Freehold: Heineken
334094,The Ravensbury Arms,"Croydon Road, Mitcham",CR4 4JA,owner,Independent,open,528247,168124,51.397663,-0.157895,Merton,
334097,The Rushmere,"89 Ridgway, Wimbledon",SW19 4SU,owner,Greene King,open,523822,170582,51.420737,-0.220612,Merton,
334109,The Sultan Public House,"The Sultan, 78 Norman Road, Colliers Wood, London",SW19 1BT,owner,Hop Back,open,526290,170400,51.418562,-0.185214,Merton,
334119,The William Morris,"20 Watermill Way, Colliers Wood, London",SW19 2RD,owner,Independent,open,526446,169816,51.413265,-0.183182,Merton,
334124,The Windmill,"Pub The Windmill Public House, 40 Commonside West, Mitcham",CR4 4HA,owner,Independent,open,527976,168709,51.402982,-0.161578,Merton,
334125,The Woodman Hotel,"222 Durnsford Road, Wimbledon Park, London",SW19 8DR,owner,Amtel Ventures Ltd,open,525501,172060,51.433651,-0.195955,Merton,
334205,White Lion of Mortimer,"223 London Road, Mitcham",CR4 2JD,owner,Independent,open,527831,169153,51.406996,-0.163502,Merton,
334209,Wibbas Down Inn,"Collingham House, 6-12 Gladstone Road, Wimbledon",SW19 1QT,owner,JD Wetherspoon,open,525099,170420,51.418995,-0.202306,Merton,
