index,name,add,postcode,filler,owner,status,a,b,lat, long,city,notes
425931,Be at One,"26-28 York Street, Twickenham",TW1 3LJ,owner,Stonegate,open,516335,173358,51.447266,-0.327328,Richmond upon Thames,
425932,Be At One,"7A Petersham Road, Richmond",TW10 6UH,owner,Stonegate,open,517856,174539,51.45757,-0.30505,Richmond upon Thames,
426103,The Duke,"3 Duke Street, Richmond",TW9 1HP,owner,Tavern Pubs,closed,517905,174979,51.461512,-0.3042,Richmond upon Thames,
426166,CTZN Brew,"29-31 York Street, Twickenham",TW1 3JZ,owner,CTZN Brew,closed,516350,173403,51.447671,-0.32709,Richmond upon Thames,
426206,Duke Of Cambridge,"Kneller Road, Twickenham",TW2 7DT,owner,Independent,open,514621,174214,51.455312,-0.351714,Richmond upon Thames,Freehold: Stonegate
426327,Hare and Hounds,"Hare And Hounds, 214-216 Upper Richmond Road West, East Sheen, London",SW14 8AH,owner,Young's,open,520633,175434,51.46503,-0.264808,Richmond upon Thames,
426350,HMO The Old Ship,"The Old Ship, 3 King Street, Richmond",TW9 1ND,owner,Young's,open,517718,174802,51.459963,-0.306954,Richmond upon Thames,
426623,All Bar One,"1 Kew Road, Kew",TW9 2NQ,owner,Mitchells & Butlers,open,518025,175185,51.463341,-0.302404,Richmond upon Thames,
426707,Prince Albert,"30 Hampton Road, Twickenham",TW2 5QB,owner,Fuller Smith & Turner,open,515169,172765,51.442169,-0.344286,Richmond upon Thames,"Freehold: Fuller Smith & Turner, locally managed"
426708,Prince Of Wales,"136 Hampton Road, Twickenham",TW2 5QR,owner,Independent,open,514905,172465,51.439527,-0.348194,Richmond upon Thames,
426785,Rose of York,"Petersham Road, Richmond",TW10 6UY,owner,Samuel Smith,open,518105,173994,51.452619,-0.301657,Richmond upon Thames,
426882,St Margaret's Tavern,"St Margarets Tavern, 107 St Margarets Road, Twickenham",TW1 2LJ,owner,Greene King,open,516979,174142,51.454184,-0.317804,Richmond upon Thames,
426904,Stokes & Moncreiff,"The Royal Oak, 13 Richmond Road, Twickenham",TW1 3AB,owner,Heron Restaurant Group,closed,516493,173512,51.448622,-0.325012,Richmond upon Thames,
426949,Tap on the Line,"Kew Gardens Railway Station, Station Parade, Kew, Richmond",TW9 3PZ,owner,Fuller Smith & Turner,open,519186,176764,51.47729,-0.285181,Richmond upon Thames,
426950,Tap Tavern,"Richmond Tap Tavern, Princes Street, Richmond",TW9 1ED,owner,The Richmond Town Tavern Ltd,open,518030,174983,51.461515,-0.302399,Richmond upon Thames,
426982,Thai @The Albert,"Prince Albert, 30 Hampton Road, Twickenham",TW2 5QB,owner,Fuller Smith & Turner,open,515149,172743,51.441976,-0.344585,Richmond upon Thames,
426987,The Abercorn Arms,"Abercorn Arms, 76-78 Church Road, Teddington",TW11 8EY,owner,Morgan Pub Co,open,515617,171288,51.428822,-0.338328,Richmond upon Thames,
426988,The Adelaide,"57 Park Road, Teddington",TW11 0AU,owner,Shepherd Neame,open,515889,170719,51.423652,-0.334599,Richmond upon Thames,
426989,The Admiral Nelson,"123 Nelson Road, Twickenham",TW2 7BB,owner,Fuller Smith & Turner,open,514171,173955,51.453067,-0.358255,Richmond upon Thames,
426991,The Ailsa Tavern,"Ailsa Tavern, 263 St Margarets Road, Twickenham",TW1 1NJ,owner,Shepherd Neame,open,516597,174818,51.460339,-0.323077,Richmond upon Thames,
426992,The Albany,"1 Queens Road, Twickenham",TW1 4EZ,owner,Scotsand Estates Ltd,open,515977,173547,51.449042,-0.332408,Richmond upon Thames,
426995,The Angel and Crown,"The Angel And Crown, 5 Church Court, Richmond",TW9 1JL,owner,Fuller Smith & Turner,open,517913,174868,51.460514,-0.304129,Richmond upon Thames,
426996,The Anglers,"Anglers Hotel, 3 Broom Road, Teddington",TW11 9NR,owner,Fuller Smith & Turner,open,516722,171361,51.429251,-0.322417,Richmond upon Thames,
427003,The Bell Inn,"8 Thames Street, Hampton",TW12 2EA,owner,An Authentic Pub Co Ltd,open,514019,169495,51.413021,-0.36189,Richmond upon Thames,
427005,The Bloomsbury,"209 Staines Road, Twickenham",TW2 5BB,owner,Independent,open,514594,172696,51.441675,-0.352577,Richmond upon Thames,Freehold: Heineken
427009,The Bridge Tavern,"The Bridge, 204 Castelnau, Barnes, London",SW13 9DW,owner,Young's,open,522813,177803,51.485852,-0.232611,Richmond upon Thames,
427010,The Britannia,"5 Brewers Lane, Richmond",TW9 1HH,owner,Stonegate,open,517849,174915,51.460951,-0.305026,Richmond upon Thames,
427012,The Brown Dog,"28 Cross Street, Barnes, London",SW13 0AP,owner,Independent,open,521542,175888,51.468907,-0.251559,Richmond upon Thames,
427013,The Bull's Head,"373 Lonsdale Road, Barnes, London",SW13 9PY,owner,Young's,open,521573,176429,51.473772,-0.250927,Richmond upon Thames,
427014,The Cabbage Patch,"67 London Road, Twickenham",TW1 3SZ,owner,Fuller Smith & Turner,open,516147,173526,51.448809,-0.32997,Richmond upon Thames,
427019,The Castlebar,"69-71 High Street, Teddington",TW11 8HA,owner,Independent,open,516162,171136,51.427344,-0.330538,Richmond upon Thames,Freehold: Stonegate
427026,The Coach & Horses,"The Coach And Horses, 27 Barnes High Street, Barnes, London",SW13 9LW,owner,Young's,open,521687,176403,51.473513,-0.249302,Richmond upon Thames,
427027,The Coach And Horses,"8 Kew Green, Kew",TW9 3BH,owner,Young's,open,519083,177424,51.483243,-0.286442,Richmond upon Thames,
427033,The Cricketers,"79 Kew Green, Kew",TW9 3AH,owner,Inda Pubs,open,518933,177672,51.485504,-0.288517,Richmond upon Thames,
427034,The Cricketers,"The Green, Richmond",TW9 1LX,owner,Greene King,open,517664,174850,51.460399,-0.307723,Richmond upon Thames,
427037,The Crown,"128 Lower Mortlake Road, Richmond",TW9 2JZ,owner,Heineken,open,518744,175522,51.46622,-0.29196,Richmond upon Thames,Freehold: Crown Estate
427038,The Crown Inn,"The Crown, 174 Richmond Road, Twickenham",TW1 2NH,owner,Young's,open,516933,173808,51.451192,-0.318576,Richmond upon Thames,
427041,The Duke Of Clarence,"147 High Street, Hampton Hill",TW12 1NJ,owner,Stonegate,open,514383,171038,51.426816,-0.356147,Richmond upon Thames,
427042,The Dukes Head,"42 The Vineyard, Richmond",TW10 6AZ,owner,Independent,open,518230,174666,51.458634,-0.299627,Richmond upon Thames,
427043,The Dysart Petersham,"135 Petersham Road, Petersham",TW10 7AA,owner,Independent,open,518216,173326,51.446593,-0.300276,Richmond upon Thames,
427044,The Eel Pie,"9-11 Church Street, Twickenham",TW1 3NJ,owner,Hall & Woodhouse,open,516388,173330,51.446998,-0.326568,Richmond upon Thames,
427050,The Foresters Arms,"Foresters Arms, 45 High Street, Hampton Wick",KT1 4DG,owner,First Bar Ltd,open,517446,169683,51.414013,-0.312566,Richmond upon Thames,Freehold: Heineken
427051,The Fountain Beefeater,"152 Sixth Cross Road, Twickenham",TW2 5PE,owner,Beefeater (Whitbread),open,514084,172376,51.438902,-0.360029,Richmond upon Thames,
427052,The Fox,"39 Church Street, Twickenham",TW1 3NR,owner,Stonegate,open,516354,173290,51.446646,-0.32707,Richmond upon Thames,
427053,The Fox & Duck,"Fox And Duck, 194 Petersham Road, Petersham",TW10 7AD,owner,Independent,open,518046,173163,51.445164,-0.302781,Richmond upon Thames,
427056,The George,"32 King Street, Twickenham",TW1 3SN,owner,Morgan Pub Co,open,516218,173226,51.446099,-0.329062,Richmond upon Thames,Freehold: Greene King
