,name ,add,postcode,owner,status,a,b,lat,long,city,notes
526618,93 Feet East,"150 Brick Lane, London",E1 6RU,n/a,open,533892,182075,51.521731,-0.071522,Tower Hamlets,Nightclub
526663,Albert,"Albert Public House, 74 St Stephens Road, London",E3 5JL,Stonegate,open,536585,183365,51.532679,-0.032231,Tower Hamlets,Craft Union Pub Company
526724,Approach Tavern,"47 Approach Road, London",E2 9LY,Remarkable pubs,open,535232,183173,51.531279,-0.051799,Tower Hamlets,
526738,Artful Dodger,"47 Royal Mint Street, London",E1 8LG,Independent,open,533976,180804,51.510289,-0.070795,Tower Hamlets,
526770,Baba G's,"The Star of Bethnal Green, 359 Bethnal Green Road, London",E2 6LG,Electric Star,open,534526,182668,51.526915,-0.062157,Tower Hamlets,
526774,Backyard Bar,"231-237 Cambridge Heath Road, London",E2 0EL,Independent,open,534966,182631,51.526472,-0.055839,Tower Hamlets,
526792,Bancroft Arms,"Bancroft Arms, 410 Mile End Road, London",E1 4RQ,Independent,open,536073,182250,51.522782,-0.040038,Tower Hamlets,
526878,Bethnal Green Tavern,"456 Bethnal Green Road, London",E2 0EA,Misty Moon Management Company,open,534836,182692,51.527051,-0.057688,Tower Hamlets,
526895,Billy Bootleggers,"202 Brick Lane, London",E1 6SA,Independent,closed,533894,182347,51.524165,-0.071391,Tower Hamlets,
526919,Blind Beggar,"The Blind Beggar, 337-341 Whitechapel Road, London",E1 1BU,Independent,open,534858,181911,51.520027,-0.05767,Tower Hamlets,
526944,Boom Battle Bar Aldgate East,"19 Chaucer Gardens, London",E1 8QG,Boom Battle Bar,open,534119,181275,51.514489,-0.068561,Tower Hamlets,
527020,Brown Bear,"Brown Bear Public House, 139 Leman Street, London",E1 8EY,Brown Bear Pub Company,open,534132,180934,51.511421,-0.068503,Tower Hamlets,Freehold owner:  Heineken
527112,Callaghans,"55 Chrisp Street, London",E14 6LP,Stonegate,closed,537890,181208,51.512979,-0.014272,Tower Hamlets,
527138,Captain Kidd,"Captain Kidd Public House, 108 Wapping High Street, London",E1W 2NE,Samuel Smith,open,534737,180018,51.503036,-0.060136,Tower Hamlets,
527141,Carpenters Arms,"73 Cheshire Street, London",E2 6EG,Friendship pub company,open,534222,182346,51.524088,-0.066666,Tower Hamlets,
527148,Castle,"44 Commercial Road, London",E1 1LN,Independent,open,534058,181317,51.51488,-0.069419,Tower Hamlets,
527183,Cherry,"359 Mile End Road, London",E3 4QS,Independent,open,536330,182478,51.524769,-0.036248,Tower Hamlets,
527286,Commercial Tavern,"Commercial Tavern Public House, 142-144 Commercial Street, London",E1 6NU,Urban Pubs and Bars,open,533578,182086,51.521903,-0.076041,Tower Hamlets,
527433,Dog & Truck,"72 Back Church Lane, London",E1 1LX,Feeneys Irish Pub,open,534248,181114,51.51301,-0.06676,Tower Hamlets,"Freehold owner:  Stonegate, Leasehold"
527448,Dorset Estate Social Club,"Dorset Social Club Above Dorset Library, Ravenscroft Street, London",E2 7QX,Dorset Estate Social Club,open,533800,183003,51.530092,-0.072496,Tower Hamlets,
527457,Drapers Arms Bar & E1 Venue Bar,"432 Bancroft Road, London",E1 4DH,Independent,open,535864,182358,51.523803,-0.043007,Tower Hamlets,
527463,Duke of Wellington,"12-14 Toynbee Street, London",E1 7NE,The Wellington Pub London Ltd,open,533684,181630,51.517781,-0.074687,Tower Hamlets,
527511,Eleanor Arms,"460 Old Ford Road, London",E3 5JP,Independent,open,536519,183623,51.535013,-0.033082,Tower Hamlets,
527572,Festival Inn,"Festival Inn Public House, 71 Grundy Street, London",E14 6AD,Independent,closed,537795,181141,51.512399,-0.015666,Tower Hamlets,
527644,Galvaniser's PH,"2 Devas Street, London",E3 3FD,Antic,closed,537925,182387,51.523564,-0.013307,Tower Hamlets,
527688,Good Samaritan,"87 Turner Street, London",E1 2AE,Stonegate,open,534622,181606,51.517343,-0.061186,Tower Hamlets,
