index,name,add,postcode,filler,owner,status,a,b,lat ,long,city,notes
235928,Abbey Arms,"Abbey Arms 31 Wilton Road, Abbey Wood, Greenwich",SE2 9RH,owner,Independent,open,547352,178994,51.490698,0.121072,Greenwich,
235985,Anchor & Hope,"The Anchor And Hope Riverside, Charlton, Greenwich",SE7 7SS,owner,Greene King,closed,540935,179138,51.493619,0.028753,Greenwich,
235992,Angerstein Hotel,"The Angerstein 108 Woolwich Road, Greenwich",SE10 0LE,owner,SMS Taverns Ltd,open,540175,178302,51.486313,0.017477,Greenwich,
235994,Anglesea Arms,"Anglesea Arms 91 Woolwich New Road, Woolwich, Greenwich",SE18 6EF,owner,Unknown,closed,543614,178663,51.488686,0.06712,Greenwich,
236021,Ashburnham Arms,"Ashburnham Arms 25 Ashburnham Grove, Greenwich",SE10 8UH,owner,Shepherd Neame,open,537937,177067,51.475765,-0.015217,Greenwich,
236089,Belushi's,"Belushis 189 Greenwich High Road, Greenwich",SE10 8JA,owner,Interpub,closed,538101,177323,51.478025,-0.012758,Greenwich,
236092,Berry & Barrel Limited,"18 Well Hall Parade, Eltham, Greenwich",SE9 6SP,owner,Independent,open,542607,175071,51.456664,0.051177,Greenwich,
236115,Black Boy Public House,"Black Boy Southspring, Avery Hill, Greenwich",DA15 8EA,owner,Town Centre Inns,open,544976,173841,51.445011,0.084751,Greenwich,
236118,Blackheath & Newbridge,"22 Charlton Road, Charlton, Greenwich",SE3 7HG,owner,Blackheath Newbridge Social Club Limited,open,540528,177401,51.47812,0.022199,Greenwich,
236188,British Oak,"British Oak 109 Old Dover Road, Blackheath, Greenwich",SE3 8SU,owner,Independent,open,540806,177197,51.476218,0.026132,Greenwich,
236199,Bull Tavern,"The Bull 14 Vincent Road, Woolwich, Greenwich",SE18 6RF,owner,Unknown,closed,543768,178760,51.489518,0.069376,Greenwich,
236400,Crofton Albion Sports & Social Club,"Crofton Albion Sports And Social Club Weigall Road, Kidbrooke, Greenwich",SE12 8HF,owner,Crofton Albion Sports & Social Club,open,540339,175100,51.457489,0.018571,Greenwich,
236402,Crown,"The Crown 176 Trafalgar Road, Greenwich",SE10 9TZ,owner,Stonegate,open,539295,178127,51.484949,0.004742,Greenwich,
236415,Cutty Sark Tavern,"The Cutty Sark 4 - 6 Ballast Quay, Greenwich",SE10 9PD,owner,Young's,open,538936,178270,51.486315,-0.000363,Greenwich,
236451,Dial Arch,"Dial Arch No 1 Street, Woolwich, Greenwich",SE18 6GH,owner,Young's,open,543783,179101,51.49258,0.069735,Greenwich,
236518,Elephant and Castle,"Elephant And Castle 18 Greens End, Woolwich, Greenwich",SE18 6JY,owner,Independent,open,543727,178903,51.490822,0.068848,Greenwich,
236529,Eltham GPO,"4 Passey Place, Eltham, Greenwich",SE9 5DQ,owner,Portobello Brewery,open,542804,174371,51.450324,0.053728,Greenwich,
236532,Eltham Hill Club & Instit,"Eltham Hill Club And Institute 85 Eltham Road, Eltham, Greenwich",SE9 5SU,owner,Greenwich Council,closed,542305,174507,51.451672,0.046611,Greenwich,
236552,Enderby house,"Enderby House 23 Telegraph Avenue, Greenwich",SE10 0TH,owner,Young's,open,539142,178762,51.490689,0.002794,Greenwich,
236578,Farmhouse Public House,"The Farmhouse 52 Jason Walk, Eltham, Greenwich",SE9 3DH,owner,Heineken,open,543229,171764,51.42679,0.058801,Greenwich,
236625,Fox & Hounds,"Fox And Hounds 57 Plumstead Common Road, Plumstead, Greenwich",SE18 3AS,owner,Redhouse pubs group,open,543815,177960,51.482319,0.069731,Greenwich,
236653,Gate Clock PH (JD Wetherspoon PLC),"The Gate Clock Crescent Arcade, Greenwich",SE10 9EJ,owner,JD Wetherspoon,open,622675,-5527598,51.48165869,-0.011112771,Greenwich,
236662,George & Dragon,"George And Dragon 2 Blackheath Hill, Greenwich",SE10 8DE,owner,Independent,open,537949,176748,51.472886,-0.015169,Greenwich,
236700,Great Harry (Wetherspoons),"The Great Harry 7 - 9 Wellington Street, Woolwich, Greenwich",SE18 6PQ,owner,JD Wetherspoon,open,543581,178796,51.489888,0.066701,Greenwich,
236746,Guildford Arms,"Guildford Arms 55 Guildford Grove, Greenwich",SE10 8JY,owner,Independent,open,537965,176912,51.474358,-0.014868,Greenwich,
236765,Hardys Free house,"Hardys 92 Trafalgar Road, Greenwich",SE10 9UW,owner,London Taverns Ltd,closed,539058,178006,51.483918,0.001286,Greenwich,
236830,Hungry Horse (Fox Under the Hill),"Fox Under The Hill 286 Shooters Hill Road, Blackheath, Greenwich",SE18 4LT,owner,Greene King,open,541756,176951,51.47377,0.039704,Greenwich,
236940,King's Arms,"Kings Arms 16 King William Walk, Greenwich",SE10 9JH,owner,Greene King,open,538416,177653,51.480914,-0.008095,Greenwich,
237169,Mitre,"The Mitre 291 Greenwich High Road, Greenwich",SE10 8NA,owner,Mitchells & Butlers,open,538303,177568,51.480174,-0.009753,Greenwich,
237297,North Pole Bar & Restaurant,"131 Greenwich High Road, Greenwich",SE10 8JA,owner,Antarctic Ltd,open,537825,177190,51.476888,-0.016781,Greenwich,
237320,Old Brewery,"The Old Brewery Old Royal Naval College King William Walk, Greenwich",SE10 9LW,owner,Young's,open,538552,177826,51.482426,-0.00607,Greenwich,
237363,Park Tavern,"Park Tavern 45 Passey Place, Eltham, Greenwich",SE9 5DA,owner,Independent,open,542856,174311,51.449766,0.054456,Greenwich,
237424,Plume of Feathers,"Plume Of Feathers 19 Park Vista, Greenwich",SE10 9LZ,owner,Independent,open,622675,-5527598,51.48202881,-0.001138129,Greenwich,
