id,name,address,postcode,a,b,lat,long,city,notes,website,History
80626,Warbank Social Club,"Warbank Crescent, Croydon",CR0 0AY,539246,162091,51.34086,-0.002251,Croydon,Social club,,
141784,1885 Lounge,"20 High Street, South Norwood, London",SE25 6EZ,533987,168451,51.399269,-0.075312,Croydon,Cocktail bar,,
141834,Addington Palace,"Gravel Hill, Croydon",CR0 5BB,536281,163617,51.355289,-0.044208,Croydon,wedding venue,,
141882,Alma Tavern,"The Alma Tavern, 129 Lower Addiscombe Road, Croydon",CR0 6PU,533582,166249,51.379585,-0.081972,Croydon,pub,http://www.thealmatavern.co.uk/,
141931,Art And Craft CR0 1RJ,"46 Surrey Street, Croydon",CR0 1RJ,532269,165479,51.372971,-0.101099,Croydon,pub,https://www.artandcraft.london/,
142040,Bishops Wine Bar,"1129 Whitgift Centre, Croydon",CR0 1UZ,532311,165757,51.375462,-0.100393,Croydon,wine bar,,permanently closed
142075,Boxpark Bar Beatbox,"Unit 22 - 26, Boxpark Croydon, 99 George Street, Croydon",CR0 1LD,532680,165675,51.374638,-0.095125,Croydon,bar,https://www.boxpark.co.uk/croydon/food-and-drink/bar/,
142205,Cava-Ri,"1136 - 1138 London Road, Norbury, London",SW16 4DS,530956,168796,51.403076,-0.11873,Croydon,restaurant,,
142296,Claret & Ale,"5 Bingham Corner, Lower Addiscombe Road, Croydon",CR0 7AA,534171,166305,51.379948,-0.073493,Croydon,pub,https://camra.org.uk/pubs/claret-ale-addiscombe-141487,
142308,Cocktail Embassy,"76 Westow Hill, Upper Norwood, London",SE19 1SB,533651,170706,51.419621,-0.079304,Croydon,Cocktail bar,,
142383,Coulsdon Victoria Social Club,"The Victoria Club, 11 Victoria Road, Coulsdon",CR5 2NN,529916,159645,51.321083,-0.137012,Croydon,Social club,,
142385,CR1,"25-29 South End, Croydon",CR0 1BE,532448,164808,51.366901,-0.098779,Croydon,Cocktail bar,,
142396,Crown and Pepper,"242 High Street, Croydon",CR0 1NF,532364,165045,51.369048,-0.099902,Croydon,pub,http://www.crownandpepper.co.uk/croydon.php,
142397,Crown And Sceptre,"Crown And Sceptre Public House, 32 Junction Road, South Croydon",CR2 6RB,532636,163990,51.359512,-0.096384,Croydon,pub,http://www.crownandsceptresouthcroydon.co.uk/,
142500,Dice Bar & Club,"36 High Street, Croydon",CR0 1YB,532303,165430,51.372532,-0.100629,Croydon,bar,,
142509,Dog And Bull,"24-25 Surrey Street, Croydon",CR0 1RG,532234,165465,51.372864,-0.101607,Croydon,pub,https://www.thedog.pub/,
142618,Fanbox,"Unit 58 - 61, Boxpark Croydon, 99 George Street, Croydon",CR0 1LD,532680,165675,51.374638,-0.095125,Croydon,Kid's play,,
142704,Frames Sports Bar,"202 Brighton Road, Coulsdon",CR5 2NF,529747,159474,51.319576,-0.139513,Croydon,Bar,,permanently closed
142760,Golden Beer Ark Micropub,"186 Addington Road, South Croydon",CR2 8LB,535117,162323,51.343939,-0.06141,Croydon,pub,http://www.thegoldenark.co.uk/,
142787,Green Dragon/Cluck&Run/Non Nyam/Seoul Chicken/Flip The Bird,"The Green Dragon Public House, 60 High Street, Croydon",CR0 1NA,532291,165331,51.371644,-0.100829,Croydon,pub,http://www.socialpubandkitchen.co.uk/green-dragon-croydon?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
143017,Jus Jam Club,"3-7 Park Street, Croydon",CR0 1YD,532492,165561,51.373665,-0.097866,Croydon,club,,permanently closed
143273,"Market Tavern, 88th, VM, SC, KT, CB, LL","Market Tavern, 1 - 4 Surrey Street, Croydon",CR0 1RG,532296,165359,51.37189,-0.100745,Croydon,pub,https://www.greatukpubs.co.uk/market-tavern-croydon?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,permanently closed
143321,MemoryBox,"80 - 88 High Street, Croydon",CR0 1NA,532305,165281,51.371185,-0.100656,Croydon,Cocktail bar,https://www.memoryboxcroydon.co.uk/,
143407,Mr Fox,"34 Surrey Street, Croydon",CR0 1RJ,532269,165479,51.372971,-0.101099,Croydon,Cocktail bar,,permanently closed
143428,Mynd Spirit,"Addiscombe Cricket Club, The Sandilands Club, Sandilands, Croydon",CR0 5DB,534096,165177,51.369828,-0.074985,Croydon,sport club,http://www.sandilandshall.com/,
143629,Pawsons Arms,"The Pawsons Arms, 69 Pawsons Road, Croydon",CR0 2QA,532562,167726,51.393085,-0.096055,Croydon,pub,https://camra.org.uk/pubs/pawsons-arms-croydon-141546,
143713,Porter & Sorter,"The Porter And Sorter Public House, Billinton Hill, Croydon",CR0 6BT,532902,165832,51.375996,-0.091879,Croydon,pub,https://www.porterandsorterpub.co.uk/,
143782,Railway Telegraph,"19 Brigstock Road, Thornton Heath",CR7 7JJ,532163,168241,51.397808,-0.101595,Croydon,pub,http://www.therailwaytelegraph.com/,
143822,Riff Raffs,"28 George Street, Croydon",CR0 1PB,532419,165558,51.373645,-0.098907,Croydon,Cocktail bar,,
143857,Royal Albert,"The Royal Albert Public House, 42 Westow Hill, Upper Norwood, London",SE19 1RX,533501,170706,51.419647,-0.081446,Croydon,pub,https://camra.org.uk/pubs/royal-albert-upper-norwood-141485,
144246,The Albert Tavern,"The Albert, 65 Harrington Road, South Norwood, London",SE25 4LX,534597,168269,51.397487,-0.066622,Croydon,pub,https://www.alberttavernsouthnorwood.co.uk/,
144247,The Albion,"26 High Street, South Norwood, London",SE25 6HA,534061,168533,51.399986,-0.074218,Croydon,pub,http://www.albionpub.com/,
144249,The Apple Tree,"The Apple Tree Public House, 1 - 3 Broom Road, Croydon",CR0 8NG,537179,165253,51.369785,-0.030693,Croydon,pub,https://www.facebook.com/theappletreeshirley/,
144254,The Bedford Tavern,"16 Sydenham Road, Croydon",CR0 2EF,532675,166132,51.378753,-0.095031,Croydon,pub,http://whelanspubs.co.uk/whelans-premium/the-bedford-tavern/,
144263,The Builders Arms,"Builders Arms, 65 Leslie Park Road, Croydon",CR0 6TP,533301,166233,51.379515,-0.086004,Croydon,pub,https://www.buildersarmscroydon.co.uk/,
144264,The Bulls Head,"Laud Street, Croydon",CR0 1SX,532284,165111,51.369659,-0.101021,Croydon,pub,https://www.facebook.com/bullshead.croydon,
144272,The Cherry Tree,"32 Station Road, South Norwood, London",SE25 5AG,533974,168239,51.397366,-0.075579,Croydon,pub,https://camra.org.uk/pubs/cherry-tree-south-norwood-141470,
144277,The Clifton Arms,"21 Clifton Road, South Norwood, London",SE25 6NJ,533251,168092,51.396225,-0.08602,Croydon,pub,https://camra.org.uk/pubs/clifton-arms-south-norwood-141407,
144287,The Conquering Hero,"262 Beulah Hill, Upper Norwood, London",SE19 3HF,531772,170671,51.419736,-0.106315,Croydon,pub,https://camra.org.uk/pubs/conquering-hero-upper-norwood-141524,
