id,name,address,postcode,a,b,lat,long,city,notes,website,history
246036,Acton Vale Working Mens Club,"265 - 267 Uxbridge Road, London",W12 9DS,521968,180088,51.506571,-0.243986,Hammersmith and Fulham,working mens club,,
246076,Andover Arms,"57 Aldensley Road, London",W6 0DL,522769,179025,51.496836,-0.232821,Hammersmith and Fulham,,https://www.theandoverarmsw6.com/,
246077,Andrew Robson Bridge Club,"31 Parsons Green Lane, London",SW6 4HH,525062,176787,51.47623,-0.200597,Hammersmith and Fulham,Bridge club,,
246079,Anglesea Arms,"35 Wingate Road, London",W6 0UR,522546,179282,51.499203,-0.235942,Hammersmith and Fulham,,http://www.angleseaarmspub.co.uk/,
246092,Aragon House,"249 New King's Road, London",SW6 4XG,525075,176369,51.47247,-0.200565,Hammersmith and Fulham,,https://www.aragonhousesw6.com/,
246154,Be At One,"14A Hammersmith Broadway, London",W6 7AL,523408,178651,51.493336,-0.223751,Hammersmith and Fulham,Cocktail bar,,
246155,Beaconsfield,"The Beaconsfield, 24 Blythe Road, London",W14 0HA,524102,179084,51.497084,-0.213607,Hammersmith and Fulham,,,Pubclosed
246165,Belushi's,"13 - 15 Shepherd's Bush Green, London",W12 8PH,523681,179830,51.503881,-0.219407,Hammersmith and Fulham,,https://belushis.com/london-shepherds-bush,
246166,Belushi's And St Christopher's,"Hammersmith Broadway, London",W6 7AB,523351,178645,51.493303,-0.224573,Hammersmith and Fulham,Sports bar,https://belushis.com/london-shepherds-bush,Closed
246187,Bird In Hand,"88 Masbro' Road, London",W14 0LR,523950,179398,51.499939,-0.215685,Hammersmith and Fulham,Italian restaurant,,
246196,Blue Anchor,"13 Lower Mall, London",W6 9DJ,522884,178251,51.489855,-0.231434,Hammersmith and Fulham,,https://www.thechaptercollection.co.uk/blue-anchor-hammersmith?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
246197,Blue Boat,"The Blue Boat, Distillery Wharf, Parr's Way, London",W6 9GD,523226,177978,51.487328,-0.226608,Hammersmith and Fulham,,https://www.theblueboat.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P177&y_source=1_MTIyMzcxNTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
246242,Brook Green Hotel,"170 Shepherd's Bush Road, London",W6 7PB,523458,179151,51.497827,-0.222855,Hammersmith and Fulham,Hotel,,
246246,Brook House,"Public House, 65 New King's Road, London",SW6 4SG,525575,176761,51.475883,-0.19323,Hammersmith and Fulham,,http://www.brookhousefulham.com/,
246271,Butchers Hook,"The Butcher's Hook, 477 Fulham Road, London",SW6 1HL,525874,177266,51.480345,-0.188741,Hammersmith and Fulham,,https://www.greeneking.co.uk/pubs/greater-london/butchers-hook?utm_source=g_places&utm_medium=locations&utm_campaign=UC_pubpage,
246276,Caddi Club Chelsea,"29 Imperial Road, London",SW6 2FR,526029,176706,51.475281,-0.186706,Hammersmith and Fulham,Golf club,,
246321,Carpenter's Arms,"89 - 91 Black Lion Lane, London",W6 9BG,522094,178507,51.492326,-0.242719,Hammersmith and Fulham,,http://www.thecarpentersarms-w6.co.uk/,Temporarily closed
246332,Central Bar,"West 12, The Broadway, Shepherd's Bush Green, London",W12 8PP,523723,179819,51.503773,-0.218806,Hammersmith and Fulham,Spoons,https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-central-bar-shepherds-bush?utm_source=google&utm_medium=maps&utm_campaign=gmb,
246389,Cock Tavern,"360 North End Road, London",SW6 1LY,525128,177350,51.481266,-0.199449,Hammersmith and Fulham,,https://www.cocktavern.co.uk/,
246408,Coningham Arms,"191 Uxbridge Road, London",W12 9RA,522368,180058,51.506224,-0.238236,Hammersmith and Fulham,,https://camra.org.uk/pubs/coningham-arms-shepherds-bush-129122,
246442,Cross Keys,"The Cross Keys, 57 Black Lion Lane, London",W6 9BG,522094,178507,51.492326,-0.242719,Hammersmith and Fulham,,http://www.crosskeyshammersmith.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=googlemybusiness_website,
246444,Crown & Sceptre,"Crown And Sceptre, 57 Melina Road, London",W12 9HY,522518,179721,51.503154,-0.236193,Hammersmith and Fulham,,https://www.crownandsceptreshepherdsbush.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P117&y_source=1_MTIyMzcwMzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
246451,Cumberland Arms P H,"Cumberland Arms, 29 North End Road, London",W14 8SZ,524358,178784,51.494332,-0.210026,Hammersmith and Fulham,,http://www.thecumberlandarmspub.co.uk/,
246466,Defectors Weld,"170 Uxbridge Road, London",W12 8AA,523425,179957,51.505078,-0.223064,Hammersmith and Fulham,,https://www.defectors-weld.co.uk/,
