,name ,add,postcode,owner,status,a,b,lat,long,city,notes
526618,93 Feet East,"150 Brick Lane, London",E1 6RU,,,533892,182075,51.521731,-0.071522,Tower Hamlets,
526663,Albert,"Albert Public House, 74 St Stephens Road, London",E3 5JL,,,536585,183365,51.532679,-0.032231,Tower Hamlets,
526668,Alcotraz,"212 Brick Lane, London",E1 6SA,,,533894,182347,51.524165,-0.071391,Tower Hamlets,
526721,Apples and Pears,"26 Osborn Street, London",E1 6TD,,,534015,181541,51.516903,-0.069954,Tower Hamlets,
526724,Approach Tavern,"47 Approach Road, London",E2 9LY,,,535232,183173,51.531279,-0.051799,Tower Hamlets,
526738,Artful Dodger,"47 Royal Mint Street, London",E1 8LG,,,533976,180804,51.510289,-0.070795,Tower Hamlets,
526770,Baba G's,"The Star of Bethnal Green, 359 Bethnal Green Road, London",E2 6LG,,,534526,182668,51.526915,-0.062157,Tower Hamlets,
526774,Backyard Bar,"231-237 Cambridge Heath Road, London",E2 0EL,,,534966,182631,51.526472,-0.055839,Tower Hamlets,
526792,Bancroft Arms,"Bancroft Arms, 410 Mile End Road, London",E1 4RQ,,,536073,182250,51.522782,-0.040038,Tower Hamlets,
526878,Bethnal Green Tavern,"456 Bethnal Green Road, London",E2 0EA,,,534836,182692,51.527051,-0.057688,Tower Hamlets,
526879,Bethnal Green Working Mens Club,"Bethnal Green Working Mens Club, 42-46 Pollard Row, London",E2 6NB,,,534442,182686,51.527091,-0.063367,Tower Hamlets,
526895,Billy Bootleggers,"202 Brick Lane, London",E1 6SA,,,533894,182347,51.524165,-0.071391,Tower Hamlets,
526919,Blind Beggar,"The Blind Beggar, 337-341 Whitechapel Road, London",E1 1BU,,,534858,181911,51.520027,-0.05767,Tower Hamlets,
526944,Boom Battle Bar Aldgate East,"19 Chaucer Gardens, London",E1 8QG,,,534119,181275,51.514489,-0.068561,Tower Hamlets,
526978,Bread Street Kitchen - Limehouse,"The Narrow, 44 Narrow Street, London",E14 8DQ,,,536044,180818,51.509922,-0.041023,Tower Hamlets,
527020,Brown Bear,"Brown Bear Public House, 139 Leman Street, London",E1 8EY,,,534132,180934,51.511421,-0.068503,Tower Hamlets,
527112,Callaghans,"55 Chrisp Street, London",E14 6LP,,,537890,181208,51.512979,-0.014272,Tower Hamlets,
527138,Captain Kidd,"Captain Kidd Public House, 108 Wapping High Street, London",E1W 2NE,,,534737,180018,51.503036,-0.060136,Tower Hamlets,
527141,Carpenters Arms,"73 Cheshire Street, London",E2 6EG,,,534222,182346,51.524088,-0.066666,Tower Hamlets,
527148,Castle,"44 Commercial Road, London",E1 1LN,,,534058,181317,51.51488,-0.069419,Tower Hamlets,
527164,Champagne Route,"30 Gauging Square, London",E1W 2AE,,,534284,180571,51.508123,-0.066438,Tower Hamlets,
527170,Chapter House Student Living Bar,"9 Frying Pan Alley, London",E1 7HS,,,533546,181606,51.517598,-0.076684,Tower Hamlets,
527183,Cherry,"359 Mile End Road, London",E3 4QS,,,536330,182478,51.524769,-0.036248,Tower Hamlets,
527189,Chiave Shoreditch,"36 Redchurch Street, London",E2 7DP,,,533677,182356,51.524307,-0.074513,Tower Hamlets,
527251,Clays,"Unit B1, 1 Cabot Square, London",E14 4QJ,,,537268,180410,51.50596,-0.023544,Tower Hamlets,
527262,Club Oops,"30 Alie Street, London",E1 8DA,,,533939,181178,51.513659,-0.071186,Tower Hamlets,
527286,Commercial Tavern,"Commercial Tavern Public House, 142-144 Commercial Street, London",E1 6NU,,,533578,182086,51.521903,-0.076041,Tower Hamlets,
527321,Coupette,"423 Bethnal Green Road, London",E2 0AN,,,534694,182703,51.527175,-0.05973,Tower Hamlets,
527433,Dog & Truck,"72 Back Church Lane, London",E1 1LX,,,534248,181114,51.51301,-0.06676,Tower Hamlets,
527448,Dorset Estate Social Club,"Dorset Social Club Above Dorset Library, Ravenscroft Street, London",E2 7QX,,,533800,183003,51.530092,-0.072496,Tower Hamlets,
527457,Drapers Arms Bar & E1 Venue Bar,"432 Bancroft Road, London",E1 4DH,,,535864,182358,51.523803,-0.043007,Tower Hamlets,
527463,Duke of Wellington,"12-14 Toynbee Street, London",E1 7NE,,,533684,181630,51.517781,-0.074687,Tower Hamlets,
527511,Eleanor Arms,"460 Old Ford Road, London",E3 5JP,,,536519,183623,51.535013,-0.033082,Tower Hamlets,
527524,Enoteca Super Tuscan,"8a Artillery Passage, London",E1 7LJ,,,533494,181661,51.518095,-0.077413,Tower Hamlets,
527531,Ethika,"Unit 8, 6 George Street  (Building E1/2), London",E14 9QG,,,537981,180010,51.502192,-0.013434,Tower Hamlets,
527538,Exit Bar,"174 Brick Lane, London",E1 6RU,,,533892,182075,51.521731,-0.071522,Tower Hamlets,
527566,Feed the Village,"91 Brick Lane, London",E1 6QL,,,533838,182072,51.521716,-0.072301,Tower Hamlets,
527572,Festival Inn,"Festival Inn Public House, 71 Grundy Street, London",E14 6AD,,,537795,181141,51.512399,-0.015666,Tower Hamlets,
527644,Galvaniser's PH,"2 Devas Street, London",E3 3FD,,,537925,182387,51.523564,-0.013307,Tower Hamlets,
527688,Good Samaritan,"87 Turner Street, London",E1 2AE,,,534622,181606,51.517343,-0.061186,Tower Hamlets,
527691,Goodmans Field,"Goodman Field Public House Gro, 87-91 Mansell Street, London",E1 8AP,,,533838,180953,51.511661,-0.072726,Tower Hamlets,
527694,GOPPA @ The Carpenters Arms,"Carpenters Arms Public House, 73 Cheshire Street, London",E2 6EG,,,622675,-5527598,\N,\N,Tower Hamlets,
527695,Goppa's Kitchen,"Bow Bells Public House, 116 Bow Road, London",E3 3AA,,,537424,182855,51.527892,-0.020342,Tower Hamlets,
527708,Grapeshots,"2-3 Artillery Passage, London",E1 7LJ,,,533494,181661,51.518095,-0.077413,Tower Hamlets,
527827,Hope & Anchor,"14 Newby Place, London",E14 0EY,,,538066,180805,51.509305,-0.011896,Tower Hamlets,
527834,Howling Hops,"Unit 9a Queens Yard, 43 White Post Lane, London",E9 5EN,,,537183,184525,51.542965,-0.023163,Tower Hamlets,
527844,Humble Grape,"18-20 Mackenzie Walk, London",E14 4PH,,,537373,180253,51.504523,-0.02209,Tower Hamlets,
527846,Hungerford Arms,"240 Commercial Road, London",E1 2NB,,,534832,181289,51.514444,-0.058282,Tower Hamlets,
527849,HWK3 Ltd,"Unit 2, 29 White Post Lane, London",E9 5EN,,,537061,184549,51.543195,-0.024916,Tower Hamlets,
527951,Juju's,"15 Hanbury Street, London",E1 6QR,,,533786,181906,51.520237,-0.073113,Tower Hamlets,
527993,Kings Arms,"11a Buckfast Street, London",E2 6EY,,,534244,182490,51.525376,-0.066294,Tower Hamlets,
528057,Lanterna,"6 Wyke Road, London",E3 2XD,,,537250,184273,51.540678,-0.022299,Tower Hamlets,
528077,Leman Bar,"19a Leman Street, London",E1 8EN,,,533971,181235,51.514163,-0.070703,Tower Hamlets,
528079,Leman Street Tavern,"Unit 3 North West Block, Goodman's Fields, London",E1 8PT,,,534005,181186,51.513706,-0.070235,Tower Hamlets,
528124,London Cocktail Club,"9 Cabot Square, London",E14 4EB,,,537394,180409,51.50592,-0.021727,Tower Hamlets,
528125,London Cocktail Club Paradise Row,"Railway Arches, 253 Paradise Row, London",E2 9LE,,,534941,182818,51.528158,-0.056128,Tower Hamlets,
528126,London Cocktail Club Sclater Street,"Commercial Unit 12 Avant Garde Building, 29 Sclater Street, London",E1 6LB,,,533738,182305,51.523834,-0.073654,Tower Hamlets,
528129,London Hospital Tavern,"176 Whitechapel Road, London",E1 1BJ,,,534883,181834,51.519329,-0.05734,Tower Hamlets,
528138,Love Shack,"Railway Arches, 297-299 Cambridge Heath Road, London",E2 9HA,,,622675,-5527598,\N,\N,Tower Hamlets,
528159,Mad George Tavern,"George Tavern, 373 Commercial Road, London",E1 0LA,,,535204,181289,51.514346,-0.052925,Tower Hamlets,
528220,Marquis Of Cornwallis,"Marquis Of Cornwallis Public House, 304 Bethnal Green Road, London",E2 0AG,,,534349,182592,51.526268,-0.064742,Tower Hamlets,
528260,Merchant & Weaver,"8a Lamb Street, London",E1 6EA,,,533610,181883,51.520073,-0.075647,Tower Hamlets,
528265,Metropolis,"234 Cambridge Heath Road, London",E2 9NN,,,534891,183270,51.532232,-0.056675,Tower Hamlets,
528278,Mikkeller Bar London,"2-4 Hackney Road, London",E2 7NS,,,533509,182698,51.52742,-0.076804,Tower Hamlets,
528330,Moretown Belle,"5 Thomas More Square, London",E1W 1YW,,,534183,180514,51.507634,-0.067924,Tower Hamlets,
528331,Morgan Arms,"43 Morgan Street, London",E3 5AA,,,536443,182752,51.527195,-0.034515,Tower Hamlets,
528342,Mother Kelly's Bottle Shop & Tap Room,"Railway Arch 251, Paradise Row, London",E2 9LE,,,534941,182818,51.528158,-0.056127,Tower Hamlets,
528387,Mucci's,"Ground Queen Mary University Of London, 327 Mile End Road, London",E1 4NS,,,536037,182320,51.52342,-0.040544,Tower Hamlets,
528417,Nags Head,"Nags Head Public House, 17-19 Whitechapel Road, London",E1 1DU,,,534123,181555,51.517003,-0.068393,Tower Hamlets,
528437,Nelsons Head PH,"32 Horatio Street, London",E2 7SB,,,533978,183094,51.530867,-0.069896,Tower Hamlets,
528462,Nicolas,"Unit RP480, 1 Canada Square, London",E14 5AX,,,537557,180305,51.504938,-0.019434,Tower Hamlets,
528470,Ninety One Living Room,"91 Brick Lane, London",E1 6QL,,,533838,182072,51.521716,-0.072301,Tower Hamlets,
528501,Oasis Bar and Terrace,"1 Canada Square, London",E14 5AB,,,537554,180307,51.504964,-0.019462,Tower Hamlets,
528507,Off Piste,"Canada Park Square, London",E14 5AB,,,537836,180301,51.50484,-0.01541,Tower Hamlets,
528535,Oranj,"Ground Floor, 14 Bacon Street, London",E1 6LF,,,622675,-5527598,\N,\N,Tower Hamlets,
528612,Perseverance,"Perseverance Public House, 110-112 Pritchards Road, London",E2 9AP,,,534489,183478,51.534196,-0.062402,Tower Hamlets,
528658,Platform Hub One Ltd,"Unit Cr40 Level Minus One Crossrail Station And Retail Mall, 1 Crossrail Place, London",E14 5AR,,,537612,180438,51.506119,-0.01858,Tower Hamlets,
528678,Poplar Blackwall & District Rowing Bar,"Ferry Street, London",E14 3DT,,,538104,178321,51.486984,-0.01232,Tower Hamlets,
528721,Prince Regent,"Prince Regent Public House, 81 Salmon Lane, London",E14 7PR,,,536339,181306,51.514226,-0.036572,Tower Hamlets,
528723,Princess of Prussia,"15 Prescot Street, London",E1 8AZ,,,533982,180936,51.511474,-0.070659,Tower Hamlets,
528726,Prospect of Whitby,"57 Wapping Wall, London",E1W 3SH,,,535354,180497,51.507202,-0.051068,Tower Hamlets,
528745,Queens Head,"Queens Head Public House, 8 Flamborough Street, London",E14 7LS,,,536181,181241,51.513689,-0.038872,Tower Hamlets,
528851,Royal Oak,"73 Columbia Road, London",E2 7RG,,,534005,182934,51.529423,-0.069568,Tower Hamlets,
