id,name,address,postcode,a,b,lat,long,city,notes,website,History,
94817,081 Pizzeria,"The Colonel Fawcett, 1 Randolph Street, London",NW1 0SS,622675,-5527598,,,Camden,Pub,http://www.thecolonelfawcett.co.uk/,,
94828,3 Locks Brewery,"Arch 14 & 15, Water Lane, London",NW1 8NZ,528858,184211,51.542104,-0.143262,Camden,Brewery,http://www.3locksbeer.com/,,
94841,Abbey Tavern,124 Kentish Town Road,NW1 9QB,528965,184669,51.546187,-0.141548,Camden,Pub,http://www.abbey-tavern.com/,,
94849,Aces and Eights Saloon Bar,156-158 Fortess Road,NW5 2HP,529135,185784,51.55616,-0.138704,Camden,Pub,http://www.acesandeightssaloonbar.com/,,
94852,Acol Bridge Club,"86 West End Lane, London",NW6 2LX,525538,184524,51.545649,-0.191001,Camden,Bridge club,,,
94896,Alice House,"283-285 West End Lane, London",NW6 1RD,525439,185156,51.55135,-0.192203,Camden,Bar,,,
94899,All Bar One,"108 New Oxford Street, London",WC1A 1HB,529973,181438,51.516922,-0.128217,Camden,Bar,https://www.allbarone.co.uk/national-search/london/all-bar-one-new-oxford-street?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
94900,All Bar One,"58 Kingsway, London",WC2B 6DX,530598,181398,51.516419,-0.119229,Camden,Bar,https://www.allbarone.co.uk/national-search/london/all-bar-one-kingsway?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
94921,Ambassadors Theatre,"Ambassadors Theatre, West Street, London",WC2H 9ND,530002,181000,51.512979,-0.12796,Camden,Theatre,,,
94923,Amelie's Wine House,"37 Store Street, London",WC1E 7BS,529780,181772,51.519968,-0.130874,Camden,Wine bar,,,
95029,BABEL BEERHOUSE,"1 Lewis Cubitt Walk, London",N1C 4DL,530065,183780,51.537948,-0.126027,Camden,Brewery,https://www.babelbeerhouse.com/,Permanently closed,
95033,Backstage Bar,"The Royal Central School Of Speech And Drama Embassy Theatre, 62-64 Eton Avenue, London",NW3 3HY,526708,184405,51.544327,-0.17418,Camden,SU bar,https://centralsu.com/,,
95057,Bannatyne Health Club,"4 Greville Road, London",NW6 5HZ,525574,183462,51.536106,-0.19086,Camden,Fitness centre,,,
95097,Be At One Limited,"55 Camden High Street, London",NW1 7JH,529095,183513,51.535771,-0.140103,Camden,,,Permanently closed,
95119,Belushi's,"48-50 Camden High Street, London",NW1 0LT,529132,183550,51.536104,-0.139556,Camden,Bar,,Permanently closed,
95138,Bermondsey Pub Company Limited,"Northumberland Arms, 119 Tottenham Court Road, London",W1T 5AW,529318,182153,51.523499,-0.137389,Camden,Pub,https://www.northumberland-arms.com/,,
95143,Betjeman Arms,"Unit 53 St Pancras International Station, Euston Road, London",N1C 4QL,530077,183055,51.531429,-0.126122,Camden,Pub,https://www.thebetjemanarms.co.uk/,,
95196,Bloomsbury Tavern,"236 Shaftesbury Avenue, London",WC2H 8EG,530146,181431,51.516819,-0.125727,Camden,Pub,https://www.bloomsburytavern.co.uk/,,
95253,Bounce,"121 Holborn, London",EC1N 2TD,531338,181601,51.518071,-0.108495,Camden,Bar,,,
95254,Bourne & Hollingsworth,"28 Rathbone Place, London",W1T 1JF,529553,181538,51.517917,-0.134229,Camden,Bar,,Permanently closed,
95272,Brewdog,"142 Shaftesbury Avenue, London",WC2H 8HJ,529950,181046,51.513395,-0.128693,Camden,Brewery,https://drink.brewdog.com/uk/brewdog-seven-dials/,,
95273,Brewdog,"113 Bayham Street, London",NW1 0AG,529024,183796,51.53833,-0.141023,Camden,Brewery,,Permanently closed,
95275,Bricklayers Arms,"31 Gresse Street, London",W1T 1QS,529611,181522,51.51776,-0.1334,Camden,Pub,https://camra.org.uk/pubs/bricklayers-arms-london-125553,,
95279,Brondes Age,328 Kilburn High Road,NW6 2QN,524808,184457,51.545207,-0.201541,Camden,Pub,http://www.brondesage.co.uk/,,
95297,Bucks Head,"202 Camden High Street, London",NW1 8QR,528848,184007,51.540267,-0.143482,Camden,Pub,http://www.socialpubandkitchen.co.uk/bucks-head-camden?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,,
95301,Bull & Bush,"Bull And Bush, North End Way, London",NW3 7HE,526062,186972,51.567541,-0.182557,Camden,Pub,https://www.thebullandbush.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
95302,Bull and Gate,389 Kentish Town Road,NW5 2TJ,528978,185138,51.550399,-0.141189,Camden,Pub,https://www.bullandgatenw5.co.uk/,,
95392,Callum Smith Catering Ltd,"Tapping The Admiral, 77 Castle Road, London",NW1 8SU,528646,184560,51.545283,-0.146191,Camden,Pub,http://www.tappingtheadmiral.com/,,
95393,Calthorpe Arms,"252 Gray's Inn Road, London",WC1X 8JR,530795,182344,51.524866,-0.116041,Camden,Pub,https://www.calthorpearmswc1.co.uk/,,
95410,Camden Eye,"2 Kentish Town Road, London",NW1 9NX,528939,183928,51.539536,-0.142199,Camden,Pub,http://www.camdeneye.pub/,,
95421,Camden People's Theatre,"58-60 Hampstead Road, London",NW1 2PY,529247,182447,51.526156,-0.138304,Camden,Theatre,,,
95425,Camden Road Arms,"102-106 Camden Road, London",NW1 9EA,529203,184158,51.541543,-0.13831,Camden,Pub,,Permanently closed,
95477,CATERING SIR RICHARD STEELE,"97 Haverstock Hill, London",NW3 4RL,527763,184705,51.546795,-0.15885,Camden,Pub,https://www.instagram.com/sirrichardsteelenw3?igsh=a2poN2V0c2wzbHZ2,,
95580,Circus,"27 Endell Street, London",WC2H 9BA,530226,181165,51.51441,-0.124673,Camden,Club,,Permanently closed,
95645,Coopers Arms,"164 Kilburn High Road, London",NW6 4JD,525189,183969,51.540748,-0.196228,Camden,Pub,https://camra.org.uk/pubs/coopers-arms-kilburn-125352,,
95694,Coyote Ugly Saloon Ltd,"The Stables Market, Chalk Farm Road, London",NW1 8AH,528547,184230,51.542339,-0.147738,Camden,Pub,http://www.coyoteuglysaloonuk.com/camden,,
95695,Craft Beer Company,"82 Leather Lane, London",EC1N 7TR,531252,181953,51.521255,-0.109602,Camden,Pub,http://www.thecraftbeerco.com/clerkenwell,,
95714,Cross Keys,"31 Endell Street, London",WC2H 9BA,530211,181176,51.514511,-0.124885,Camden,Pub,https://londonpubsgroup.camra.org.uk/viewnode.php?id=43045,,
95717,Crown & Anchor,"137 Drummond Street, London",NW1 2HL,529338,182532,51.526899,-0.136962,Camden,Pub,https://www.thecrownandanchornw1.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
95718,Crown & Anchor,"22 Neal Street, London",WC2H 9PS,530205,181123,51.514038,-0.124991,Camden,Pub,http://crownandanchornealst.co.uk/,,
95722,Crowne Plaza Kings Cross,"1 King's Cross Road, London",WC1X 9HX,530952,182516,51.526384,-0.113715,Camden,Hotel,,,
95769,DEGUSTO,"94 Camden Road, London",NW1 9EA,529187,184129,51.541295,-0.138551,Camden,restaurant,,,
95809,Disappearing Dining Club at Dartmouth Arms,"35 York Rise, London",NW5 1SP,528775,186034,51.558491,-0.143793,Camden,Pub,https://www.dartmoutharms.co.uk/,,
95820,Dominion Theatre,"The Dominion Theatre, 268-269 Tottenham Court Road, London",W1T 7AQ,529874,181440,51.516963,-0.129642,Camden,Theatre,,,
95834,Doric Arch,"Euston Station, Unit 50 Eversholt Street, London",NW1 2HS,529589,182735,51.528667,-0.133271,Camden,Pub,https://www.doric-arch.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P125&y_source=1_MTIyMzcwNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,
95869,Earl of Camden,"55 Parkway, London",NW1 7PN,528790,183740,51.537881,-0.144415,Camden,Pub,http://www.socialpubandkitchen.co.uk/earl-of-camden?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,,
95886,Edinboro Castle,"57 Mornington Terrace, London",NW1 7RU,528755,183536,51.536064,-0.144994,Camden,Pub,https://www.edinborocastlepub.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
95928,Escape Bar & Restaurant,"2 Lidlington Place, London",NW1 2JU,529288,183170,51.532644,-0.137448,Camden,Pub,https://escapemornington.co.uk/,,
95950,Euston Tap,"East Lodge, 188 Euston Road",NW1 2EF,529671,182566,51.527129,-0.132152,Camden,Pub,http://www.eustontap.com/,,
95951,Euston Tap,"West Lodge, 190 Euston Road",NW1 2EF,529640,182549,51.526981,-0.132599,Camden,Pub,http://www.eustontap.com/,,
95959,Exmouth Arms Euston,"1 Starcross Street, London",NW1 2HR,529354,182647,51.527929,-0.136689,Camden,Pub,http://www.publove.co.uk/exmouth-arms-euston,,
96021,Fitzrovia Belle,174 Tottenham Court Road,W1T 7NT,529437,182053,51.52257,-0.135706,Camden,Pub,http://www.bellepubsandrestaurants.co.uk/,,
96023,Fitzroy Tavern,"16A Charlotte Street, London",W1T 2LY,529525,181626,51.518705,-0.134601,Camden,Pub,https://fitzroytavern.co.uk/,,
96030,Flask Tavern,"77 Highgate West Hill, London",N6 6BU,528260,187285,51.56985,-0.150762,Camden,Pub,https://www.theflaskhighgate.com/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P141&y_source=1_MTIyMzcwODAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,
96038,Flight Club Darts LTD,"Albion House, 55-59 New Oxford Street, London",WC1A 1BS,530054,181413,51.516679,-0.127059,Camden,sports bar,https://flightclubdarts.com/uk/london-bloomsbury/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business&utm_content=venue-page,,
96071,Freemasons Arms,"32 Downshire Hill, London",NW3 1NT,527036,185813,51.556899,-0.168944,Camden,Pub,https://www.freemasonsarms.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,,
96113,GAS STATION,"GAS STATION, Goods Way, London",N1C 4UR,622675,-5527598,,,Camden,Pub,,Permanently closed,
96116,Gatehouse,"Highgate West Hill, London",N6 6JS,528269,186339,51.561348,-0.150977,Camden,Pub,http://www.urbanpubsandbars.com/venues/the-gatehouse?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,,
96145,George Birkbeck Bar,"University Of London Birkbeck College, Malet Street",WC1E 7HX,529986,181893,51.521007,-0.127856,Camden,SU Bar,https://www.birkbeckunion.org/student-life/food/,,
