id,name,address,postcode,a,b,lat,long,city,notes,website,History
204558,Alan Pullinger Youth Cntr,"Alan Pullinger Centre, 1 John Bradshaw Road, LONDON",N14 6BT,529737,194107,51.630834,-0.126935,Enfield,children's group,,
204774,Botany Bay Cricket Club,"Cricket Pavilion, East Lodge Lane, ENFIELD",EN2 8AS,529996,199348,51.677864,-0.12125,Enfield,Sport club,,
204777,Bounds Green Bowls And Tennis Club,"Brownlow Road, LONDON",N11 2BS,530108,191807,51.610071,-0.122432,Enfield,Sport club,,
204782,Brackendale Lawn Tennis Club,"Brackendale Sports Ground, Brackendale, LONDON",N21 3DH,530911,193900,51.628703,-0.110061,Enfield,Sport club,,
204808,Broomfield Club,"85 Hedge Lane, LONDON",N13 5SZ,531744,193192,51.622137,-0.0983,Enfield,Sport club,,
204838,Bush Hill Park Bowls Tennis And Social Club,"Abbey Road, ENFIELD",EN1 2QP,533492,195612,51.643481,-0.072142,Enfield,Sport club,,
204840,Bush Hill Park Golf Club 1895 Limited,"Bush Hill Park Golf Club, Bush Hill, LONDON",N21 2BU,532219,195639,51.644024,-0.090519,Enfield,Sport club,,
204843,Bush Hill Park PH,"Public House, 141 St Marks Road, ENFIELD",EN1 1BA,533717,195437,51.641846,-0.06896,Enfield,pub,https://camra.org.uk/pubs/place/bush-hill-park-2919,
204848,Buzz Bingo,"5 Dearsley Road, ENFIELD",EN1 3FB,534490,196467,51.650909,-0.0574,Enfield,bingo,,
204947,Chestnut Tree,"Public House, 9 Aldermans Hill, LONDON",N13 4YD,530949,192690,51.617811,-0.109965,Enfield,pub,https://www.craftunionpubs.com/chestnut-tree-palmers-green?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
205009,Cockfosters Bowling Club,"Cockfosters Sports Ground, Chalk Lane, BARNET",EN4 9JG,527905,196495,51.652696,-0.152519,Enfield,Sport club,,
205012,Cockfosters Football Club,"Cockfosters Sports Ground, Chalk Lane, BARNET",EN4 9JG,527905,196495,51.652696,-0.152519,Enfield,Sport club,,
205032,Conway Lawn Tennis Club,"Conway Road Recreation Ground, Conway Road, LONDON",N14 7BD,530291,193180,51.622367,-0.119281,Enfield,Sport club,,
205063,Cousins Professional Snooker Club LTD,"169-171 Fore Street, LONDON",N18 2XB,534081,192332,51.613858,-0.06489,Enfield,hall of pool,,
205075,Crown & Horseshoes,"Public House, 15 Horseshoe Lane, ENFIELD",EN2 6PZ,532419,196987,51.656082,-0.08712,Enfield,pub,https://www.greeneking.co.uk/pubs/middlesex/crown-and-horseshoes?utm_source=g_places&utm_medium=locations&utm_campaign=PK_pubpage,
205076,Crown And Anchor,"Public House, 222 Fore Street, LONDON",N18 2QD,534161,192620,51.616427,-0.063625,Enfield,pub,https://www.craftunionpubs.com/crown-and-anchor-edmonton?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,
205129,Dicey Rileys Public House,"161 Silver Street, LONDON",N18 1PY,533248,192591,51.616383,-0.076815,Enfield,pub,https://www.facebook.com/p/Dicey-Reillys-Edmonton-100057304725410/,
205143,Dog and Duck,"Public House, 74 Hoppers Road, LONDON",N21 3LH,531324,193656,51.626414,-0.104189,Enfield,pub,http://www.thedogandduckwinchmorehill.co.uk/,
205156,Doyle's,"155 Bramley Road, LONDON",N14 4XA,529530,196108,51.648846,-0.129185,Enfield,pub,https://camra.org.uk/pubs/doyles-southgate-157959,
205182,Edmonton Conservative Club,"396 Hertford Road, LONDON",N9 7EY,534895,194707,51.635005,-0.052227,Enfield,Social club,,
205191,Edmonton Sports & Social Club,"Norsemen Football Club Edmonton Cricket Club, Church Street, LONDON",N9 9HL,533249,194012,51.629152,-0.076261,Enfield,Social club,,
205227,Enfield Chase Tennis Club,"Enfield Chase Tenis Club, Mortimer Drive, ENFIELD",EN1 2LH,533097,195554,51.643045,-0.07787,Enfield,Sport club,,
205228,Enfield Cricket Club,"9 Lincoln Road, ENFIELD",EN1 2RY,533130,196080,51.647763,-0.077193,Enfield,Sport club,,
205241,Enfield Highway Conservative Club,"652 Hertford Road, ENFIELD",EN3 6LZ,535586,198783,51.671457,-0.04067,Enfield,Social club,,
205242,Enfield Ignatians RFC,"Queen Elizabeth Stadium, Donkey Lane, ENFIELD",EN1 3PL,534269,197368,51.659058,-0.060247,Enfield,Sport club,,
205244,Enfield Lawn Tennis Club,"The Ridgeway, ENFIELD",EN2 8NA,531432,197498,51.660896,-0.101203,Enfield,Sport club,,
205257,Enfield Town Conservative Club,"Enfield Town Club, 8 Old Park Avenue, ENFIELD",EN2 6PR,532342,196594,51.652559,-0.088382,Enfield,Social club,,
205258,Enfield Town Football Club,"Queen Elizabeth Stadium, Donkey Lane, ENFIELD",EN1 3PL,534269,197368,51.659058,-0.060247,Enfield,Sport club,,
205327,Fishmongers Arms,"Commercial Premises, Public House, Winchmore Hill Road, LONDON",N14 6AD,529881,194437,51.633758,-0.124735,Enfield,pub,https://camra.org.uk/pubs/fishmongers-arms-southgate-157965,
205377,Friends Social Club,"2A Gloucester Road, LONDON",N18 1HL,533726,192241,51.613124,-0.070048,Enfield,Social club,,
205423,Golf Club Kitchen,"Club House, Crews Hill Golf Club, Cattlegate Road, ENFIELD",EN2 8AZ,530798,200092,51.684364,-0.109393,Enfield,Sport club,,
205469,Gryphon,"Public House, 9 Vera Avenue, LONDON",N21 1RE,531693,195473,51.642647,-0.098179,Enfield,pub,https://www.emberinns.co.uk/nationalsearch/london/thegryphonenfield?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
205480,Hadley Wood Golf Club,"Beech Hill, BARNET",EN4 0JJ,526950,198005,51.66649,-0.165767,Enfield,Sport club,,
205481,Hadley Wood Lawn Tennis Club,"Hadley Wood Tennis Club, Hadley Wood Open Space, Crescent East, BARNET",EN4 0EL,526270,198221,51.668579,-0.175523,Enfield,Sport club,,
205501,Harvester,"The Navigation Inn, 4 Wharf Road, ENFIELD",EN3 4XX,536439,195700,51.643556,-0.029545,Enfield,pub,https://www.harvester.co.uk/restaurants/london/thenavigationenfield?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
205510,Hazelwood Tennis Club,"Ridge Avenue, LONDON",N21 2AJ,532391,194790,51.636354,-0.088355,Enfield,Sport club,,
205556,Holtwhites Sports & Social,"Holtwhites Hill Sports Ground, 1 Kirkland Drive, ENFIELD",EN2 0RU,532198,197449,51.660276,-0.090139,Enfield,Sport club,,
205589,Inn on the Park,"2 Solar Way, ENFIELD",EN3 7XY,536884,199423,51.676903,-0.021661,Enfield,pub,https://www.cookhouseandpub.co.uk/en-gb/locations/enfield?=GBLC_41013960,
205641,Jura Lounge,"Unit 5 Trafalgar Trading Estate, 82 Jeffreys Road, ENFIELD",EN3 7TY,536436,196340,51.649309,-0.029328,Enfield,bar,,
205752,Lawns Bar & Restaurant,"David Lloyd Club, 180 Carterhatch Lane, ENFIELD",EN1 4LF,534206,197421,51.659549,-0.061137,Enfield,gym,,
205781,Lion,"Public House, 375 Hertford Road, ENFIELD",EN3 5PP,535344,197914,51.663707,-0.044504,Enfield,pub,https://thelionenfield.co.uk/,
205819,LT's,"Public House, 58 Fore Street, LONDON",N18 2SW,534060,191962,51.610538,-0.065335,Enfield,pub,https://camra.org.uk/pubs/lts-upper-edmonton-157978,
205829,Luxe Lounge,"6 Green Lanes, LONDON",N13 6JR,530968,191659,51.608542,-0.110075,Enfield,club,,
205863,Mary Maddens Bar,"29 Silver Street, ENFIELD",EN1 3EF,532892,196668,51.653095,-0.080408,Enfield,pub,https://www.facebook.com/MaryMaddens,
205877,Mayfield Athletic Club,"Kenmare Gardens, LONDON",N13 5DR,532063,192669,51.617363,-0.093891,Enfield,Sport club,,
205936,Minchenden Association Ltd,"Minchenden Association, Bramley Road, LONDON",N14 4HL,528590,195360,51.642337,-0.143037,Enfield,Sport club,,
205944,Misty Bar & Lounge,"8-10 Silver Street, ENFIELD",EN1 3ED,532856,196598,51.652483,-0.080955,Enfield,Hookah bar,,
205947,Mollys Bar,"Public House, 380 Bowes Road, LONDON",N11 1AH,529175,192493,51.616451,-0.135646,Enfield,pub,https://camra.org.uk/index.php/pubs/mollys-bar-new-southgate-157922,
205954,Moon Under Water,"Public House, 115-117 Chase Side, ENFIELD",EN2 6NN,532379,197330,51.659165,-0.087583,Enfield,pub,https://www.jdwetherspoon.com/pubs/all-pubs/england/middlesex/the-moon-under-water-enfield,spoons
206013,New Southgate Conservative Club,"High Road, LONDON",N11 1PP,528881,192216,51.614033,-0.139997,Enfield,club,,
206034,North Enfield Conservative Club Bar,"Conservative Club, 278 Baker Street, ENFIELD",EN1 3LD,533001,197698,51.662334,-0.078442,Enfield,Social club,,
206035,North Enfield Cricket Club,"Strayfield Road Sports Ground, 24 Strayfield Road, ENFIELD",EN2 9JE,531579,198915,51.673604,-0.098531,Enfield,Sport club,,
206066,Old Edmontonians FC Clubhouse,"Henry Barrass Stadium, Houndsfield Road, Edmonton",N9 7RA,534722,194540,51.633546,-0.05479,Enfield,Sport club,,
206067,Old Grammarians RFC,"Middlesex University Sports Ground, Green Dragon Lane, LONDON",N21 1EP,531013,195553,51.643515,-0.107971,Enfield,Sport club,,
206068,Old Ignatian Association Ltd,"147 Turkey Street, ENFIELD",EN1 4NW,534547,199034,51.673971,-0.055589,Enfield,Sport club,,
206077,On Broadway,"765 Green Lanes, LONDON",N21 3SA,531879,194266,51.631757,-0.095947,Enfield,pub,,
206078,On The Corner Bar Ltd,"20 Ashfield Parade, LONDON",N14 5EJ,529602,194158,51.631317,-0.128871,Enfield,bar,http://www.onthecornerbar.com/,permanently closed
206082,O'Neill's Enfield,"Public House, 5 The Town, ENFIELD",EN2 6LE,532820,196527,51.651854,-0.081502,Enfield,pub,https://www.oneills.co.uk/national-search/london/enfield?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
206159,Piano bar 2,"236 Green Lanes, LONDON",N13 5UD,531024,192606,51.617039,-0.108913,Enfield,bar,,
206194,Ponders End Working Mens Social Club Limited,"46 South Street, ENFIELD",EN3 4LB,535470,195735,51.644105,-0.043526,Enfield,Social club,,
206195,Ponders End Youth Centre,"Main Block Youth Centre, 129-137 South Street, ENFIELD",EN3 4PX,535829,195566,51.6425,-0.038407,Enfield,Youth club,,
206225,Prince Albert Enfield,"Public House, 611 Hertford Road, ENFIELD",EN3 6UP,535614,198762,51.671271,-0.040273,Enfield,pub,https://www.craftunionpubs.com/prince-albert-enfield,
206237,Queens Head Winchmore Hill,"Public House, 41-43 Station Road, LONDON",N21 3NB,531609,194421,51.633224,-0.099792,Enfield,pub,https://www.thequeensheadwinchmorehill.com/food-drink,
206259,Rammey Marsh Cruising Club,"Private Open Space Adjacent To Rammey Marsh, Lea Road, Waltham Abbey, WALTHAM ABBEY",EN9 1AL,537565,199657,51.678839,-0.011726,Enfield,Sport club,,
206304,Royal British Legion,"Eden Hall, 114 Nags Head Road, ENFIELD",EN3 7AP,535553,196178,51.648066,-0.042156,Enfield,Social club,,
206307,Royal Small Arms Angling Club,"Rammey Marsh Lock House, Lea Road, Waltham Abbey, WALTHAM CROSS",EN9 1AL,537557,199584,51.678178,-0.011875,Enfield,Social club,,
206340,Salisbury Arms,"Public House, Hoppers Road, LONDON",N21 3NP,531386,194389,51.632979,-0.10301,Enfield,pub,https://www.thesalisburyarmswinchmorehill.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
206350,Saracens Amateur Rugby F/ball Club,"Bramley Sports Ground, Chase Side, Southgate",N14 4AB,528593,195356,51.642312,-0.142997,Enfield,Sport club,,
206373,Selborne Bowling Club,"The Mall, LONDON",N14 6EN,529957,193495,51.625275,-0.123986,Enfield,Sport club,,
206438,Social Club,"254 Fore Street, LONDON",N18 2QD,534161,192620,51.616427,-0.063625,Enfield,Social club,,
206453,Southgate Hockey Centre,"Snakes Lane, BARNET",EN4 0PS,528976,197083,51.657735,-0.136829,Enfield,Sport club,,
206455,Southgate Masonic Centre,"88 High Street, LONDON",N14 6EB,529827,193728,51.627399,-0.125777,Enfield,Social club,,
206460,Southgate Royal British Legion,"Hollies Hall, Nursery Road, LONDON",N14 5QD,529264,194708,51.636335,-0.133545,Enfield,Social club,,
206556,Sun And Woolpack,"Public House, 640 Hertford Road, ENFIELD",EN3 6LZ,535586,198783,51.671457,-0.04067,Enfield,pub,https://www.sunandwoolpack.co.uk/index,
206632,The Alfred Herring,"316-322 Green Lanes, LONDON",N13 5TT,531137,192821,51.618954,-0.107201,Enfield,pub,https://linktr.ee/thealfredherring,
206633,The Arnos Arms,"338 Bowes Road, LONDON",N11 1AN,529270,192472,51.61624,-0.134282,Enfield,pub,https://www.arnosarms.co.uk/#/,
206636,The Beehive PH,"24 Little Bury Street, LONDON",N9 9JZ,532991,194443,51.633086,-0.079823,Enfield,pub,http://www.thebeehivebhp.co.uk/,
206637,The Bird,"Public House, 100 Tottenhall Road, LONDON",N13 6DG,531548,191956,51.611076,-0.101593,Enfield,restaurant,,
206660,The Cricketers,"Public House, 17-19 Chase Side Place, ENFIELD",EN2 6QA,532402,197016,51.656337,-0.087355,Enfield,pub,https://www.mcmullens.co.uk/local-pub/cricketers-enfield/,
206674,The Fox PH,"413 Green Lanes, LONDON",N13 4JD,531166,193001,51.620558,-0.106707,Enfield,pub,https://thefoxpubn13.co.uk/,
206677,The Gilpins Bell,"50-56 Fore Street, LONDON",N18 2SS,534019,191876,51.609766,-0.06596,Enfield,pub,https://www.jdwetherspoon.com/pub-histories/the-gilpins-bell-upper-edmonton/,
206678,The Goat,"250 High Street, ENFIELD",EN3 4EZ,535214,195934,51.645962,-0.047147,Enfield,pub,https://www.facebook.com/TheGoatPondersEnd/,permanently closed
206685,The Greyhound,"Public House, 425 South Ordnance Road, ENFIELD",EN3 6HR,537118,198583,51.669289,-0.018609,Enfield,pub,http://mcmullens.co.uk/greyhoundenfield,
206688,The Hart,"290 Chase Road, LONDON",N14 6HA,529740,194473,51.634122,-0.126757,Enfield,lebanese restaurant,https://www.hart-lounge.com/,
206693,The Hop Poles,"Public House, 320 Baker Street, ENFIELD",EN1 3LH,533097,197823,51.663434,-0.077007,Enfield,pub,https://camra.org.uk/pubs/hop-poles-enfield-157803,
206695,The Hyde Arms,"Public House, 137 Victoria Road, LONDON",N9 9BB,533979,193293,51.622518,-0.065995,Enfield,pub,https://thehydearms.co.uk/,
