id,name,address,postcode,a,b,lat,long,city,notes,website,history
272152,African Queen,"The African Queen, 315-317 Wellington Road South, Hounslow",TW4 5HL,512939,174833,51.461208,-0.375714,Hounslow,Indian restaurant,https://www.aqbarandrestaurant.co.uk/,
272260,Banquetting by Wainwright,"Hounslow Conservative Club, Gresham Road, Hounslow",TW3 4BX,514280,176804,51.478661,-0.355782,Hounslow,"Political club, closed",,
272283,Bedfont Football & Social Club,"The Orchard, Hatton Road, Feltham",TW14 9PR,508922,174404,51.458138,-0.433634,Hounslow,Venue for hire,,
272320,Black Dog Beer House,"Albany Arms, 17 Albany Road, Brentford",TW8 0NF,518008,177652,51.485518,-0.301844,Hounslow,,https://www.blackdogbeerhouse.co.uk/,
272479,Chiswick Boathouse,"Chiswick Boathouse Dukes Meadow, Great Chertsey Road, Chiswick",W4 2SH,520720,176363,51.473361,-0.263227,Hounslow,Sport venue? Lat&Long in playing field,,
272480,Chiswick Catholic Centre,"The Catholic Centre, 2 Dukes Avenue, Chiswick",W4 2AE,520861,178425,51.49186,-0.260498,Hounslow,community center,,
272482,Chiswick Cricket Club,"12 Riverside Drive, Chiswick",W4 2SP,521232,176954,51.478557,-0.255664,Hounslow,,https://duckandball.com/,
272487,Chiswick Memorial Club Association,"Chiswick Memorial Club, Bourne Place, Chiswick",W4 2EL,520892,178443,51.49202,-0.260039,Hounslow,serviceman's club,https://www.chiswickmemorialclub.org/,
272489,Chiswick Old Fire Station,"All Bar One, 197-199 Chiswick High Road, Chiswick",W4 2DR,521095,178473,51.492237,-0.257113,Hounslow,Closed,https://www.allbarone.co.uk/national-search#/,
272491,Chiswick Rugby Football Club,"Chiswick Rfu Ltd The Club House, Riverside Drive, Chiswick",W4 2SH,521197,176398,51.473572,-0.256349,Hounslow,Sport venue,,
272492,Chiswick Tennis Club Ltd,"Riverside Lawn Tennis Club, Burlington Lane, Chiswick",W4 3EU,520620,177222,51.481102,-0.264378,Hounslow,Sport venue,,
272506,Cinnamon Lounge,"181 Twickenham Road, Isleworth",TW7 6AB,516189,176134,51.472247,-0.328516,Hounslow,Indian restaurant,cinnamonisleworth.co.uk,
272507,Circa Loca,"236a High Street, Hounslow",TW3 1HB,513632,175644,51.468363,-0.365483,Hounslow,Club,https://ravelounge.co.uk/,
272509,City Barge,"Flat The City Barge, 27 Strand-On-The-Green, Chiswick",W4 3PH,519591,177635,51.485031,-0.27905,Hounslow,,https://www.citybargechiswick.com/?utm_source=g_places&utm_medium=locations&utm_campaign=MC_pubpage,
272536,Connolly's,"Connollys Bar, 450 Chiswick High Road, Chiswick",W4 5TT,520317,178540,51.493011,-0.268291,Hounslow,,https://www.facebook.com/connollyschiswick/,
272574,Crown and Anchor,"The Crown And Anchor, 374 Chiswick High Road, Chiswick",W4 4HH,520361,178496,51.492607,-0.26768,Hounslow,,https://www.crownandanchorchiswick.com/,
272595,David Lloyd Club,"David Lloyd Leisure Plc, 10 Southall Lane, Southall",TW5 9PE,511144,178386,51.493511,-0.400413,Hounslow,Gym,,
272654,Duke of Wellington,"Duke Of Wellington, 331 Hatton Road, Feltham",TW14 9QS,509349,174882,51.462359,-0.427352,Hounslow,,https://dukeofwellington.uk/,
272655,Dukes Meadow Golf and Tennis Club,"1 Great Chertsey Road, Chiswick",W4 2RX,521144,177223,51.480999,-0.256835,Hounslow,Sport venue,,
272665,Eddies Social Club,"Eddies Social Club, Hounslow Road, Hanworth",TW13 6PX,511921,172260,51.43829,-0.391158,Hounslow,,,"Closed, no website"
272701,Express Tavern,"The Express Tavern, 56 Kew Bridge Road, Brentford",TW8 0EW,518963,178074,51.489112,-0.287936,Hounslow,,https://www.expresstavern.co.uk/,
272723,Feltham Constitutional Club,"Feltham Constitutional Club, 30 Hanworth Road, Feltham",TW13 5AB,510948,173180,51.44675,-0.404873,Hounslow,Political club,https://www.facebook.com/FelthamConClub,
272780,General Roy,"2 Poplar Way, Feltham",TW13 7AB,510350,172498,51.440734,-0.413677,Hounslow,,https://www.sizzlingpubs.co.uk/findapub/yorkshireandthehumber/thegeneralroyfeltham?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
272782,George and Devonshire,"The George And Devonshire, 8 Burlington Lane, Chiswick",W4 2QE,521458,177827,51.486362,-0.252105,Hounslow,,http://www.georgeanddevonshire.co.uk/,
272797,Goals Soccer Centre,"Goals Soccer Centre, Syon Lane, Isleworth",TW7 5PT,515588,177946,51.488659,-0.336567,Hounslow,Sport venue,,
272819,Grasshoppers R.F.Sports & Social Club,"1 Macfarlane Lane, Isleworth",TW7 5PN,515604,177747,51.486866,-0.336407,Hounslow,Sport venue,,
272859,Gunnersbury Sports and Social Club,"Club Gunnersbury Sports And Social Ground, Park Place, Acton",W3 8JY,519421,178949,51.49688,-0.281052,Hounslow,Sport venue,,
