id,name,address,postcode,a,b,lat,long,city,notes,website,History
282312,23 Paul Street,"23 Paul Street, 23-25 Paul Street, London, EC2A 4JU",EC2A 4JU,532978,182206,51.523116,-0.084644,Islington,Adult entertainment,,
282313,2Northdown,"2Northdown, Ground First And Second Floors, 2 Northdown Street, London",N1 9BG,530557,183058,51.531346,-0.119205,Islington,Comedy,,Permanently closed
282374,All Bar One,"All Bar One, 127 Finsbury Pavement, London, EC2A 1NS",EC2A 1NS,532770,181867,51.520127,-0.087768,Islington,Wine bar,,
282378,Almeida Theatre,"Almeida Theatre, Almeida Theatre, 1A-1B Almeida Street, London",N1 1TA,531637,183993,51.539498,-0.103294,Islington,Performing arts,,
282380,Alwyne Castle Public House,"Alwyne Castle Public House, 83 St Paul's Road, London, N1 2LY",N1 2LY,622675,-5527598,,,Islington,Pub,https://www.thealwynecastleislington.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,
282415,Apothecary,"Apothecary, 196-200 York Way, London, N7 9AX",N7 9AX,622675,-5527598,,,Islington,Japanese restaurant,,Permanently closed
282432,Archway Tavern and Live Room,"Archway Tavern and Live Room, Ground Floor, 1 Navigator Square, London",N19 3TD,529361,186888,51.566032,-0.13503,Islington,Pub,https://www.instagram.com/thearchwaytavern/,
282436,Army & Navy Public House,"Army & Navy Public House, 1-3 Matthias Road, London, N16 8NN",N16 8NN,622675,-5527598,,,Islington,Pub,https://londonpubsgroup.camra.org.uk/viewnode.php?id=178859,
282448,Artillery Arms Public House,"Artillery Arms Public House, 102 Bunhill Row, London, EC1Y 8ND",EC1Y 8ND,532596,182226,51.523394,-0.090139,Islington,Pub,https://www.artillery-arms.co.uk/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=yext&utm_content=P004&y_source=1_MTIyMzcxMTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
282487,Bank Of Friendship PH,"Bank Of Friendship PH, 224 Blackstock Road, London, N5 1EA",N5 1EA,531904,186119,51.558527,-0.098644,Islington,Pub,http://www.bankoffriendship.com/,
282490,Bar With No Name,"Bar With No Name, 69 Colebrooke Row, London, N1 8AB",N1 8AB,531802,183678,51.536629,-0.101034,Islington,Cocktail bar,Bar With No Name,"Bar With No Name, 69 Colebrooke Row, London, N1 8AB"
282500,Barrio Angel,"Barrio Angel, Commercial Unit, 45 Essex Road, London",N1 2SF,622675,-5527598,,,Islington,Club,,Permanently closed
282521,Be at One,"Be at One, 12 Upper Street, London, N1 0PQ",N1 0PQ,622675,-5527598,,,Islington,Cocktail bar,,
