INDEX,NAME,ADDRESS,POSTCODE,LAT,LONG,LAT ,LONG,BOROUGH,PUB,CLOSED,OWNERSHIP,NOTES,LINKS
543336,196 Tooting High Street,London,SW17 0SF,622675,-5527598,\N,\N,Wandsworth,Yes,No ,Mitchell & Butlers,N/A,
543405,Amiga,"56A Battersea Rise, London",SW11 1EG,527528,175149,51.460959,-0.165705,Wandsworth,No,No ,n/a,MEXICAN,
543417,Apo Restobar,"148 Falcon Road, London",SW11 2LW,527256,175697,51.465936,-0.169421,Wandsworth,No,No ,n/a,FILIPINO,
543427,Archer Street Clapham,"3-7 Northcote Road, London",SW11 1NG,527465,175090,51.460452,-0.166632,Wandsworth,No,No ,n/a,COCKTAIL BAR,
543449,Asparagus,"The Asparagus Public House, 1-13 Falcon Road, London",SW11 2PL,527113,176134,51.469896,-0.171322,Wandsworth,Yes,No ,Portobello Pub Company,OWNED BY ZETLAND CAPITAL,https://www.zetlandcapital.com/insights/portobello-starboard/
543450,Aspen & Meursault,"The Stag Bar, 96 Westbridge Road, London",SW11 3PH,526973,176796,51.475877,-0.173099,Wandsworth,No,Yes,n/a,CLOSED 2017 ALLEGEDLY,
543479,Balham Bowls Club,"Balham Club, 7-9 Ramsden Road, London",SW12 8QX,528494,173384,51.444881,-0.152445,Wandsworth,Yes,No,Urban Pubs and Bars,PREV. ANTIC hospitality group,"https://www.thecaterer.com/news/portfolio-of-antic-pubs-and-bars-enter-administration#:~:text=A%20collection%20of%2013%20London,being%20put%20up%20for%20sale"
543517,Battersea Ironsides Sports Ground,"Burntwood Lane, London",SW17 0AW,622675,-5527598,\N,\N,Wandsworth,No,No,n/a,n/a,
543518,Battersea Labour Club,"Club House, 81-83 Falcon Road, London",SW11 2PF,527209,175853,51.467349,-0.170027,Wandsworth,No,No,Independent,Labour party social club,
543530,Be At One,"30 Putney High Street, London",SW15 1SQ,524102,175542,51.465252,-0.214843,Wandsworth,Yes,No,Stonegate,n/a,
543531,Be At One,"85 Battersea Rise, London",SW11 1HW,527411,175112,51.460662,-0.167401,Wandsworth,Yes,No,Stonegate,n/a,
543539,Beehive PH,"197 St Johns Hill, London",SW11 1TH,526661,175001,51.459825,-0.178225,Wandsworth,Yes,No,Lee and Keris De Villiers,,
543589,Blame Gloria,"89-91 Battersea Rise, London",SW11 1HW,527398,175110,51.460638,-0.167589,Wandsworth,No,No,N/A,Cocktail bar,
543608,Boom Battle Bar (Primary Licence),"89&11 Barley Walk, London",SW18 1UL,525597,174771,51.458002,-0.19362,Wandsworth,Yes ,No,Boom Battle Bar,Axe-throwing bar,
543640,Brewers Inn,Brewers Inn,SW18 2QB,525896,174636,51.456715,-0.189366,Wandsworth,Yes,No,Young & Co,,
543641,Bricklayer's Arms,"32 Waterman Street, London",SW15 1DD,523967,175628,51.466054,-0.216755,Wandsworth,Yes,No,Independent,,
543672,Bunga Bunga,"37 Battersea Bridge Road, London",SW11 3BA,527167,177137,51.478898,-0.170184,Wandsworth,No,yes,n/a,n/a,
543818,Churchill's,Churchill's,SW11 1TQ,526742,175041,51.460165,-0.177045,Wandsworth,Yes,No,Woolwich Tavern Co,n/a,
543832,Club 99,"99 Mitcham Lane, London",SW16 6LY,529335,171129,51.424423,-0.14117,Wandsworth,No,No,n/a,,
543877,Country House,"4 Groton Road, London",SW18 4EP,525963,173005,51.442038,-0.188984,Wandsworth,Yes,No ,Independent,n/a,
543878,County Arms Public House,"345 Trinity Road, Wandsworth, London",SW18 3SH,526965,173925,51.450094,-0.174243,Wandsworth,Yes,No,Young & Co,n/a,
543880,Crabtree Boat Club,"Crabtree Boathouse Club, Embankment, London",SW15 1LB,622675,-5527598,\N,\N,Wandsworth,No,No,n/a,,
543939,Devas Club,"2A Stormont Road, London",SW11 5EN,528148,175605,51.464908,-0.156606,Wandsworth,No,No,n/a,,
543977,Duchess Belle,"101 Battersea Park Road, London",SW8 4DS,529090,177214,51.479163,-0.142465,Wandsworth,Yes,No,Belle Pubs and Restaurants,,
543979,Duke Of Cambridge,"228 Battersea Bridge Road, London",SW11 3AA,527457,176472,51.472856,-0.166236,Wandsworth,Yes,No,Young & Co,,
543980,Dukes Head,"8 Lower Richmond Road, London",SW15 1JN,523939,175765,51.467292,-0.217124,Wandsworth,Yes ,No,Young & Co,,
543985,Eagle Public House,"The Eagle, 104 Chatham Road, London",SW11 6HG,527689,174493,51.455027,-0.163619,Wandsworth,Yes ,No,S.P.S Pubs Ltd,,
544069,Fez Club,"200B Upper Richmond Road, London",SW15 2SH,523992,175047,51.460818,-0.216604,Wandsworth,No,No,n/a,,
544115,Fox and Hounds,"66 Latchmere Road, London",SW11 2JU,527702,175841,51.46713,-0.16294,Wandsworth,Yes ,No,Stonegate,,
544185,Goldfinch,"145 Mitcham Road, London",SW17 9PE,527785,171136,51.424836,-0.163454,Wandsworth,No,No,n/a,cocktail bar,
