id,name,address,postcode,a,b,lat,long,city,notes,website,history
565578,5 Hertford Street,"2-5 HERTFORD STREET, LONDON",W1J 7RW,528658,180215,51.506231,-0.14759,Westminster,Social club,,
565586,8 Golden Horses,"120-122 HORSEFERRY ROAD, LONDON",SW1P 2EF,529722,179027,51.495312,-0.132718,Westminster,Mongolian BBQ,,Closed
565680,All Bar One,"19 HENRIETTA STREET, LONDON",WC2E 8QH,530266,180757,51.510735,-0.124248,Westminster,Wine bar,,
565683,All Bar One,"60 VICTORIA STREET, LONDON",SW1E 6QW,529431,179288,51.497716,-0.136813,Westminster,Wine bar,,
565967,Be At One,"20 GREAT WINDMILL STREET, LONDON",W1D 7LA,529561,180830,51.511553,-0.134374,Westminster,Cocktail bar,,
565969,Be At One,"94 WIMPOLE STREET, LONDON",W1G 0EH,528639,181296,51.515951,-0.147469,Westminster,Cocktail bar,,Closed
565981,BeBeMe,"ST MARK'S CHURCH NORTH AUDLEY STREET, LONDON",W1K 6ZA,622675,-5527598,,,Westminster,,,
566009,Below Stone Nest,"136 SHAFTESBURY AVENUE, LONDON",W1D 5EZ,529909,180995,51.512947,-0.129302,Westminster,Bar,,
566105,Blame Gloria,"20 BEDFORD STREET, LONDON",WC2E 9HP,530208,180760,51.510766,-0.125082,Westminster,Cocktail bar,,
566127,Blue Posts Public House,"18 KINGLY STREET, LONDON",W1B 5PX,529209,180969,51.512882,-0.139393,Westminster,,https://www.greeneking.co.uk/pubs/greater-london/blue-posts?utm_source=g_places&utm_medium=locations&utm_campaign=HT_pubpage,
566166,Boom Battle Bar,"70-88 OXFORD STREET, LONDON",W1D 1BS,529541,181359,51.516311,-0.134468,Westminster,Bar,,
566218,Brewdog Paddington,"UNIT 1 WEST END QUAY SOUTH WHARF ROAD, LONDON",W2 1JX,526999,181526,51.518389,-0.171023,Westminster,Brewdog,https://drink.brewdog.com/uk/paddington/,
566290,Burlock And Fam Bar,"31 DUKE STREET, LONDON",W1U 1LG,528354,181201,51.515162,-0.151609,Westminster,Bar,,
566576,Cirque Du Soir,"BASEMENT 15-21 GANTON STREET, LONDON",W1F 9BN,529238,180970,51.512885,-0.138975,Westminster,Club,,
566589,Clarette,"44 BLANDFORD STREET, LONDON",W1U 7HS,528201,181573,51.51854,-0.153692,Westminster,Bar,,
566604,Club Soda Tasting Rooms,"39 DRURY LANE, LONDON",WC2B 5RR,530385,181193,51.514616,-0.122373,Westminster,,https://joinclubsoda.com/,Permanently closed
566605,Clubhouse 5,"5 LISLE STREET, LONDON",WC2H 7BG,529764,180806,51.51129,-0.131459,Westminster,Sports bar,,
566614,Coach And Horses Public House,"COACH AND HORSES 5 HILL STREET, LONDON",W1J 5LD,528672,180538,51.509131,-0.147285,Westminster,,https://www.coachandhorsesmayfair.co.uk/,
566679,Concept Club,"37 DUKE STREET, LONDON",W1U 1LN,528362,181183,51.514998,-0.1515,Westminster,Club,,Permanently closed
566680,Concert Artistes Association Bar,"FIRST FLOOR 20 BEDFORD STREET, LONDON",WC2E 9HP,530208,180760,51.510766,-0.125082,Westminster,Cultural association,,
566683,Concoctions,"187 WARDOUR STREET, LONDON",W1F 8ZB,529465,181253,51.515367,-0.135602,Westminster,ÉFood?,,Closed
566703,Coravin Wine & Bubbles Bar,"7 LANCASHIRE COURT, LONDON",W1S 1EY,528770,180946,51.512766,-0.14571,Westminster,Wine bar,,Closed
566752,Covent Garden Social Club,"THE ARTS THEATRE 6-7 GREAT NEWPORT STREET, LONDON",WC2H 7JB,530033,180905,51.512118,-0.127549,Westminster,Cocktail bar,,
566754,Coyote Ugly Saloon,"36 SHAFTESBURY AVENUE, LONDON",W1D 7EP,529639,180793,51.511202,-0.133263,Westminster,Bar,,
566769,Crocker'S Folly,"23-24 ABERDEEN PLACE, LONDON",NW8 8JR,526703,182341,51.525779,-0.174994,Westminster,Lebanaese restaurant,,
566807,Curzon Cinema,"BASEMENT AND GROUND FLOOR 38 CURZON STREET, LONDON",W1J 7TU,528621,180251,51.506564,-0.148108,Westminster,Cinema,,
566808,Curzon Cinemas Victoria Ltd,"58 VICTORIA STREET, LONDON",SW1E 6QW,529431,179288,51.497716,-0.136813,Westminster,Cinema,,
566822,Dalla Terra Wine Bar,"25 SLINGSBY PLACE, LONDON",WC2E 9AB,530109,180989,51.512847,-0.126424,Westminster,Italian restaurant,,
566844,DC Venues Ltd,"ST ALBANS HOUSE 57-60 HAYMARKET, LONDON",SW1Y 4QX,529700,180551,51.509013,-0.132475,Westminster,Food consulting,,
566851,Dear Darling,"91 JERMYN STREET, LONDON",SW1Y 6JB,529388,180445,51.508132,-0.137007,Westminster,Club,,
566896,Disrepute,"4 KINGLY COURT, LONDON",W1B 5PW,529285,180907,51.512308,-0.138321,Westminster,Cocktail bar,,
567504,Harry'S Bar,"30-34 JAMES STREET, MARYLEBONE, LONDON",W1U 1EP,528425,181216,51.515281,-0.150588,Westminster,Italian restaurant,,
567636,Hub By Premier Inn,"15 DACRE STREET, LONDON",SW1H 0DJ,529717,179439,51.499007,-0.132639,Westminster,Hotel,,
567846,Justerini & Brooks,"41 BURLINGTON ARCADE, LONDON",W1J 0QE,529129,180595,51.509539,-0.140682,Westminster,Wine merchant,,
567869,Karaoke Box Mayfair,"12-14 MADDOX STREET, LONDON",W1S 1PH,529037,181032,51.513488,-0.141847,Westminster,Karaoke,,
568040,Lady Of The Grapes,"16 MAIDEN LANE, LONDON",WC2E 7NJ,530334,180742,51.510575,-0.123274,Westminster,French restaurant,,
568052,Lane 7,"THIRD FLOOR ZIG ZAG BUILDING 70 VICTORIA STREET, LONDON",SW1E 6SQ,529319,179242,51.497328,-0.138442,Westminster,Bowling,,
568158,Lio London,"3-4 COVENTRY STREET, LONDON",W1D 6BL,529728,180724,51.510562,-0.132008,Westminster,Bar,http://www.liolondon.co.uk/,Permanently closed
568190,Lockhouse Pub,"3 MERCHANT SQUARE, CITY OF WESTMINSTER, LONDON",W2 1AZ,526944,181606,51.51912,-0.171781,Westminster,,https://www.lockhouselondon.com/,
568226,London Pub Grub Co,"21-22 MAIDEN LANE, LONDON",WC2E 7NA,530310,180717,51.510365,-0.123629,Westminster,,http://www.porterhouse.london/,
568245,Lords Tavern,"LORDS TAVERN ST JOHN'S WOOD ROAD, LONDON",NW8 8QP,622675,-5527598,,,Westminster,Pub,https://www.lords.org/tavern,
568267,Lucky Saint,"58 DEVONSHIRE STREET, LONDON",W1W 5EA,528848,181998,51.522212,-0.144216,Westminster,Pub,https://luckysaint.co/pages/the-lucky-saint-pub-london-w1,
568299,Maddox Club And Restaurant,"3-5 MILL STREET, LONDON",W1S 2AU,529011,180942,51.512676,-0.142255,Westminster,Club,,
568316,Maison Arslan / The Green Ribbon,"193 FLEET STREET, LONDON",EC4A 2AH,531159,181140,51.51397,-0.111244,Westminster,Hair salon,,
568377,Maroto,"4 VERE STREET, LONDON",W1G 0DH,528675,181195,51.515026,-0.147002,Westminster,restaurant,,Permanently closed
568459,Mercato Metropolitano,"ST MARK'S CHURCH NORTH AUDLEY STREET, LONDON",W1K 6ZA,622675,-5527598,,,Westminster,Food market,,
568547,Moyagi,"5 CAVENDISH PLACE, LONDON",W1G 0QA,528924,181441,51.517189,-0.143325,Westminster,Karaoke,,
568554,Mr Fogg?s Hat Tavern and Gin Club,"22 GREAT CHAPEL STREET, LONDON",W1F 8FR,622675,-5527598,,,Westminster,Pub,https://www.mr-foggs.com/mr-foggs-hat-tavern/,
568556,Mr Fogg's Apothecary,"34 BROOK STREET, MAYFAIR, LONDON",W1K 5DN,528681,180981,51.51311,-0.146979,Westminster,Cocktail bar,,
568559,Mr Fogg'S Tavern,"58 ST MARTIN'S LANE, LONDON",WC2N 4EA,530082,180780,51.510984,-0.126889,Westminster,Bar,,
568574,Munich Cricket Club,"1 ABBEY ORCHARD STREET, LONDON",SW1P 2LU,529731,179321,51.497954,-0.132476,Westminster,Bavarian restaurant,,
568667,Nightjar Carnaby,"49-51 CARNABY STREET, LONDON",W1F 9PY,622675,-5527598,,,Westminster,Music bar,,Permanently closed
568717,Nq64,"53-54 BERWICK STREET, LONDON",W1F 8SJ,529409,181273,51.515569,-0.136401,Westminster,Cocktail bar,,
568875,Park Lane Club (Casino),"LONDON HILTON 22 PARK LANE, LONDON",W1K 1BE,528483,180141,51.505597,-0.150152,Westminster,Casino,,
568951,Piana Vyshnia,"10 MOOR STREET, LONDON",W1D 5NF,622675,-5527598,,,Westminster,bar,,Permanently closed
569028,Plume Wine Bar,"BASEMENT AND GROUND FLOOR 26 WELLINGTON STREET, LONDON",WC2E 7DD,530541,180916,51.5121,-0.120228,Westminster,Wine bar,,
569561,Silver Hill,"125-127 WESTBOURNE PARK ROAD, LONDON",W2 5QL,525184,181523,51.518766,-0.197169,Westminster,Wine bar,,
569564,Simmons Bar,"201-203 WARDOUR STREET, LONDON",W1F 8ZH,529447,181288,51.515686,-0.135848,Westminster,Cocktail bar,,
569565,Simmons Bar Greek Street,"BASEMENT TO FIRST FLOOR 7 GREEK STREET, LONDON",W1D 4DF,622675,-5527598,,,Westminster,Cocktail bar,,
569566,Simmons Bar Leicester Square,"28A LEICESTER SQUARE, LONDON",WC2H 7LE,529926,180697,51.510274,-0.129166,Westminster,Bar,,
569660,Sophisticats Soho,"5-7 BREWER STREET, LONDON",W1F 0RF,622675,-5527598,,,Westminster,Adult entertainment,,
569681,Sports Bar & Grill,"VICTORIA STATION TERMINUS PLACE, LONDON",SW1V 1JT,528916,178969,51.494975,-0.144329,Westminster,Sports bar,,Permanently closed
569952,TEQUILA MOCKINGBIRD,"3-5 BURLEIGH STREET, LONDON",WC2E 7PX,530523,180812,51.511174,-0.120519,Westminster,Bar,,
569953,Tequila Mockingbird,"40-42 WILLIAM IV STREET, LONDON",WC2N 4DD,530130,180634,51.50966,-0.126252,Westminster,Bar,,
570007,The Arts Theatre,"THE ARTS THEATRE 6-7 GREAT NEWPORT STREET, LONDON",WC2H 7JB,530033,180905,51.512118,-0.127549,Westminster,Theatre,,
570024,The Bear,"27-29 SPRING STREET, LONDON",W2 1JA,526706,181122,51.514824,-0.175389,Westminster,Pub,http://www.thebearpaddington.com/,
570027,The Beer House,"PADDINGTON STATION CONCOURSE PRAED STREET, LONDON",W2 1RH,526557,181303,51.516483,-0.177456,Westminster,Pub,http://www.foodtravelexperts.com/,
570056,The Casino At The Empire,"5-6 LEICESTER SQUARE, LONDON",WC2H 7NA,529836,180761,51.510869,-0.130439,Westminster,Casino,,
570084,The Cock & Bottle,"17 NEEDHAM ROAD, LONDON",W11 2RP,525167,181145,51.515373,-0.197548,Westminster,Pub,https://www.cockandbottlew11.com/,
570112,The Devonshire,"17 DENMAN STREET, LONDON",W1D 7HW,529499,180730,51.510668,-0.135304,Westminster,Pub,https://devonshiresoho.co.uk/,
570134,The Friendly Society,"BASEMENT 79 WARDOUR STREET, LONDON",W1D 6QB,529634,180923,51.512372,-0.133289,Westminster,Cocktail bar,,
570138,The Ganton Arms,"18-22 GANTON STREET, LONDON",W1F 7BU,529226,180986,51.513031,-0.139142,Westminster,bar,,
570183,The Hayden Pub & Rooms,"65 WESTBOURNE GROVE, LONDON",W2 4UJ,525591,181145,51.515279,-0.191427,Westminster,Pub,http://www.haydennottinghill.com/,
570185,The Hero,"55 SHIRLAND ROAD, LONDON",W9 2JD,525761,182160,51.524363,-0.18863,Westminster,Pub,https://theherow9.com/,
570186,The Heron,"THE HERON NORFOLK CRESCENT, LONDON",W2 2DN,622675,-5527598,,,Westminster,Pub,http://www.theheronpaddington.com/,
570227,The Little Violet Door,"9-11 KINGLY STREET, LONDON",W1B 5PH,529245,180928,51.512497,-0.13889,Westminster,Cocktail bar,,
